Player,Pos,Team,Opp,Def v Pos,VegasPts,Salary,Floor,Ceiling,2017 Avg,2018 Avg,FC Proj,My Proj,Exp.,Used,Con.,Value,Actual Score,Actual Val
Alvin Kamara,RB,NO,vs CLE,26,29.75,9000,9.9,33.4,17.2,38.6,19.26,19.26,100,,49,2.1,14.90,1.7
Antonio Brown,WR,PIT,vs KC,7,28.00,8900,10.2,33.2,19.2,19.8,19.42,19.42,100,,52,2.2,11.20,1.3
Todd Gurley,RB,LAR,vs ARI,8,27.75,8900,10.7,35,22.8,22.2,20.44,20.44,100,,42,2.3,30.80,3.5
Drew Brees,QB,NO,vs CLE,6,29.75,8800,13.4,31.1,17.5,31.6,20.45,20.45,100,,65,2.3,17.62,2
Michael Thomas,WR,NO,vs CLE,12,29.75,8800,8.4,25.4,13.8,30.0,15.22,15.22,100,,52,1.7,24.90,2.8
Aaron Rodgers,QB,GB,vs MIN,3,21.25,8700,11.4,30.7,19.4,24.9,19.10,19.10,100,,65,2.2,16.04,1.8
Julio Jones,WR,ATL,vs CAR,27,24.25,8500,5.8,29.3,13.5,23.0,15.21,15.21,100,,43,1.8,8.90,1
Tom Brady,QB,NE,@ JAC,16,23.50,8500,10.4,29.1,20.0,22.3,17.87,17.87,100,,64,2.1,16.36,1.9
Russell Wilson,QB,SEA,@ CHI,32,19.25,8500,10.8,30.3,22.4,22.4,18.63,18.63,100,,62,2.2,15.74,1.9
A.J. Green,WR,CIN,vs BAL,23,21.25,8400,4.8,26.1,11.8,16.2,13.34,13.34,100,,39,1.6,27.40,3.3
Le'Veon Bell,RB,PIT,vs KC,6,28.00,8400,0,14,20.7,,0.00,0.00,100,,55,0,,
DeAndre Hopkins,WR,HOU,@ TEN,17,22.00,8400,8.1,27.3,17.5,11.1,15.79,15.79,100,,45,1.9,20.00,2.4
David Johnson,RB,ARI,@ LAR,18,15.75,8400,7,32,10.1,15.2,16.98,16.98,100,,43,2,5.60,0.7
Cam Newton,QB,CAR,@ ATL,25,19.25,8200,11.3,32.1,20.1,18.2,19.62,19.62,100,,60,2.4,28.60,3.5
Melvin Gordon,RB,LAC,@ BUF,9,24.25,8200,7.8,29.3,16.2,23.1,16.43,16.43,100,,37,2,27.60,3.4
Odell Beckham Jr.,WR,NYG,@ DAL,8,19.50,8200,5.5,27.5,15.4,16.5,14.31,14.31,100,,49,1.7,7.10,0.9
Davante Adams,WR,GB,vs MIN,5,21.25,8100,5.4,23.6,13.3,17.3,12.69,12.69,100,,28,1.6,16.40,2
Tyreek Hill,WR,KC,@ PIT,15,24.00,8100,4.2,25.2,13.9,38.8,12.57,12.57,100,,37,1.6,17.50,2.2
Rob Gronkowski,TE,NE,@ JAC,8,23.50,8100,6,25.5,15.0,19.8,13.78,13.78,100,,47,1.7,2.50,0.3
Ezekiel Elliott,RB,DAL,vs NYG,29,22.50,8100,8.5,29,19.0,16.1,16.73,16.73,100,,58,2.1,17.20,2.1
Keenan Allen,WR,LAC,@ BUF,30,24.25,8000,5.3,26.5,14.2,20.8,13.76,13.76,100,,35,1.7,9.70,1.2
Mike Evans,WR,TB,vs PHI,29,21.75,7900,4.1,22.8,11.2,24.2,11.55,11.55,100,,44,1.5,17.30,2.2
Saquon Barkley,RB,NYG,@ DAL,16,19.50,7900,14.5,14.5,,19.8,14.52,14.52,100,,0,1.8,17.80,2.3
Kareem Hunt,RB,KC,@ PIT,5,24.00,7800,3.9,29.6,16.5,4.9,14.15,14.15,100,,35,1.8,14.50,1.9
Jordan Howard,RB,CHI,vs SEA,3,23.25,7800,4.3,24.3,11.8,13.2,12.34,12.34,100,,38,1.6,8.30,1.1
Matthew Stafford,QB,DET,@ SF,7,21.25,7700,11.4,27.7,17.7,12.0,17.93,17.93,100,,63,2.3,24.68,3.2
Leonard Fournette,RB,JAC,vs NE,13,21.50,7700,0,11,16.8,7.0,0.00,0.00,100,,55,0,,
Adam Thielen,WR,MIN,@ GB,24,23.25,7600,4.5,24,11.6,13.2,12.34,12.34,100,,7,1.6,25.10,3.3
Jarvis Landry,WR,CLE,@ NO,18,20.75,7600,6.4,20.4,12.8,14.1,11.98,11.98,100,,53,1.6,9.40,1.2
Tyrod Taylor,QB,CLE,@ NO,9,20.75,7600,10.6,28.3,14.6,24.6,17.65,17.65,100,,59,2.3,15.44,2
Ben Roethlisberger,QB,PIT,vs KC,1,28.00,7600,11.3,32.5,19.5,12.0,19.75,19.75,100,,55,2.6,38.98,5.1
Kirk Cousins,QB,MIN,@ GB,15,23.25,7500,10.6,29.1,18.2,20.4,18.02,18.02,100,,60,2.4,34.50,4.6
Isaiah Crowell,RB,NYJ,vs MIA,10,23.00,7500,3.2,18.7,8.1,22.2,9.40,9.40,100,,32,1.3,4.90,0.7
Patrick Mahomes II,QB,KC,@ PIT,24,24.00,7500,10.1,31.3,11.4,28.3,18.57,18.57,100,,0,2.5,38.84,5.2
Andrew Luck,QB,IND,@ WAS,30,21.00,7500,10.1,27.8,,20.5,17.19,17.19,100,,67,2.3,13.36,1.8
Christian McCaffrey,RB,CAR,@ ATL,28,19.25,7400,8.3,21.3,12.3,10.5,13.54,13.54,100,,57,1.8,20.90,2.8
Philip Rivers,QB,LAC,@ BUF,5,24.25,7400,11.9,28.4,17.5,30.0,18.49,18.49,100,,63,2.5,22.74,3.1
Stefon Diggs,WR,MIN,@ GB,24,23.25,7400,4.3,23.3,12.5,12.6,11.93,11.93,100,,32,1.6,31.40,4.2
Sam Darnold,QB,NYJ,vs MIA,11,23.00,7400,15.6,15.6,,14.8,15.57,15.57,100,,0,2.1,15.46,2.1
Carson Wentz,QB,PHI,@ TB,31,24.75,7400,0,9.3,22.4,,0.00,0.00,100,,65,0,,
