Player,Pos,Team,Opp,Def v Pos,VegasPts,Salary,Floor,Ceiling,2017 Avg,2018 Avg,FC Proj,My Proj,Exp.,Used,Con.,Value,Actual Score,Actual Val
Deshaun Watson,QB,HOU,@ TEN,19,22.00,7400,8.8,34.8,25.3,12.0,19.20,19.20,100,,56,2.6,23.80,3.2
Jared Goff,QB,LAR,vs ARI,14,27.75,7400,11.7,28.5,17.3,17.2,18.44,18.44,100,,55,2.5,19.36,2.6
Nick Foles,QB,PHI,@ TB,31,24.75,7300,7,28.5,10.4,5.6,15.63,15.63,100,,26,2.1,16.16,2.2
Jimmy Garoppolo,QB,SF,vs DET,4,27.25,7300,10.2,30.4,15.4,12.0,18.27,18.27,100,,0,2.5,16.64,2.3
Doug Baldwin,WR,SEA,@ CHI,14,19.25,7300,0,11.7,11.7,0.0,0.00,0.00,100,,34,0,,
Tyler Lockett,WR,SEA,@ CHI,14,19.25,7300,2.9,18.7,6.4,13.4,9.20,9.20,100,,17,1.3,14.50,2
Mitchell Trubisky,QB,CHI,vs SEA,10,23.25,7300,12.1,23.9,11.8,14.0,16.83,16.83,100,,61,2.3,16.40,2.2
Carlos Hyde,RB,CLE,@ NO,23,20.75,7200,3.1,21.4,12.8,13.0,10.42,10.42,100,,31,1.4,11.50,1.6
JuJu Smith-Schuster,WR,PIT,vs KC,7,28.00,7200,3.3,24.1,11.8,14.4,11.61,11.61,100,,30,1.6,24.60,3.4
T.Y. Hilton,WR,IND,@ WAS,22,21.00,7200,3,23.8,9.2,13.1,11.33,11.33,100,,31,1.6,17.80,2.5
Joe Mixon,RB,CIN,vs BAL,7,21.25,7100,7.4,22.4,9.0,23.4,13.39,13.39,100,,40,1.9,9.20,1.3
Matt Ryan,QB,ATL,vs CAR,22,24.25,7100,10.4,26.6,14.8,9.8,16.88,16.88,100,,64,2.4,31.68,4.5
Alex Smith,QB,WAS,vs IND,20,27.00,7100,13.2,28.7,20.0,19.6,19.35,19.35,100,,63,2.7,13.08,1.8
Larry Fitzgerald,WR,ARI,@ LAR,25,15.75,7100,4.7,23,12.9,11.1,12.01,12.01,100,,39,1.7,4.30,0.6
Golden Tate,WR,DET,@ SF,20,21.25,7100,4.6,21.1,11.2,17.4,11.19,11.19,100,,43,1.6,15.30,2.2
James Conner,RB,PIT,vs KC,6,28.00,7000,6.3,26.5,1.2,31.7,14.35,14.35,100,,0,2.1,17.00,2.4
Marcus Mariota,QB,TEN,vs HOU,26,19.00,7000,0,20.1,16.1,3.6,7.83,7.83,100,,52,1.1,,
Brandin Cooks,WR,LAR,vs ARI,11,27.75,7000,3.3,22.8,11.0,11.8,11.12,11.12,100,,37,1.6,19.40,2.8
Demaryius Thomas,WR,DEN,vs OAK,9,25.50,7000,4.1,21.6,10.3,15.3,11.05,11.05,100,,46,1.6,4.30,0.6
Allen Robinson,WR,CHI,vs SEA,1,23.25,7000,2.4,21.9,2.2,8.1,10.21,10.21,100,,35,1.5,13.30,1.9
Andy Dalton,QB,CIN,vs BAL,12,21.25,6900,8.8,25.3,13.9,17.5,15.40,15.40,100,,59,2.2,26.60,3.9
Amari Cooper,WR,OAK,@ DEN,21,19.50,6900,1.6,22.4,9.6,2.3,9.90,9.90,100,,21,1.4,16.60,2.4
Devonta Freeman,RB,ATL,vs CAR,31,24.25,6800,0,14,13.0,6.5,0.00,0.00,100,,28,0,,
LeSean McCoy,RB,BUF,vs LAC,19,17.25,6800,3.8,22.8,14.6,2.6,11.43,11.43,100,,47,1.7,8.80,1.3
Ted Ginn Jr.,WR,NO,vs CLE,12,29.75,6800,1.7,18.4,9.7,17.8,8.35,8.35,100,,13,1.2,5.50,0.8
Travis Kelce,TE,KC,@ PIT,28,24.00,6800,5.3,20.5,13.0,1.1,11.36,11.36,100,,42,1.7,26.40,3.9
Ryan Fitzpatrick,QB,TB,vs PHI,29,21.75,6800,7.8,29.3,12.8,42.3,16.37,16.37,100,,45,2.4,30.98,4.6
Jay Ajayi,RB,PHI,@ TB,22,24.75,6800,4.8,22.1,8.8,20.2,11.72,11.72,100,,29,1.7,9.20,1.4
Lamar Miller,RB,HOU,@ TEN,25,22.00,6800,4.4,22.1,11.0,11.4,11.45,11.45,100,,42,1.7,8.00,1.2
Marvin Jones,WR,DET,@ SF,20,21.25,6800,3.7,20.4,12.2,7.4,10.35,10.35,100,,34,1.5,13.40,2
Emmanuel Sanders,WR,DEN,vs OAK,9,25.50,6800,3.4,23.2,7.6,24.5,11.32,11.32,100,,35,1.7,11.60,1.7
Dak Prescott,QB,DAL,vs NYG,8,22.50,6800,9.6,29.3,17.1,8.7,17.49,17.49,100,,55,2.6,14.90,2.2
Brandon Marshall,WR,SEA,@ CHI,14,19.25,6800,0,20,1.4,12.1,7.57,7.57,100,,14,1.1,6.40,0.9
Quincy Enunwa,WR,NYJ,vs MIA,4,23.00,6700,3.7,16.7,,15.3,8.86,8.86,100,,27,1.3,12.70,1.9
Adrian Peterson,RB,WAS,vs IND,15,27.00,6700,2.5,24,7.3,21.6,11.07,11.07,100,,25,1.7,6.50,1
Case Keenum,QB,DEN,vs OAK,18,25.50,6700,10,28,16.0,22.2,17.23,17.23,100,,48,2.6,15.48,2.3
Joe Flacco,QB,BAL,@ CIN,2,22.25,6600,8.5,24.7,12.4,21.7,14.96,14.96,100,,59,2.3,19.84,3
Josh Gordon,WR,CLE,@ NO,18,20.75,6600,0,6.5,9.7,8.2,0.00,0.00,100,,52,0,,
Robby Anderson,WR,NYJ,vs MIA,4,23.00,6600,4,20.2,10.5,9.7,10.47,10.47,100,,26,1.6,2.20,0.3
Kenyan Drake,RB,MIA,@ NYJ,14,20.00,6600,5.5,22.2,7.9,8.1,12.19,12.19,100,,0,1.8,15.00,2.3
Derek Carr,QB,OAK,@ DEN,27,19.50,6600,7.3,25.1,14.6,9.2,14.41,14.41,100,,55,2.2,15.52,2.4
Michael Crabtree,WR,BAL,@ CIN,2,22.25,6500,2.4,19.2,11.0,11.3,9.11,9.11,100,,37,1.4,8.10,1.2
Dalvin Cook,RB,MIN,@ GB,27,23.25,6500,7.2,22.7,15.0,10.5,13.35,13.35,100,,56,2.1,10.50,1.6
Bilal Powell,RB,NYJ,vs MIA,10,23.00,6500,2.7,20.7,8.9,7.0,9.86,9.86,100,,10,1.5,16.50,2.5
Alshon Jeffery,WR,PHI,@ TB,32,24.75,6500,0,9.5,11.2,,0.00,0.00,100,,48,0,,
Zach Ertz,TE,PHI,@ TB,16,24.75,6500,4.8,20.3,11.7,7.3,10.95,10.95,100,,35,1.7,14.90,2.3
Jameis Winston,QB,TB,vs PHI,29,21.75,6500,0,8.9,16.4,,0.00,0.00,100,,66,0,,
Dion Lewis,RB,TEN,vs HOU,21,19.00,6500,3.8,22,11.5,19.5,11.09,11.09,100,,36,1.7,4.80,0.7
Robert Woods,WR,LAR,vs ARI,11,27.75,6500,3,19.5,11.8,5.8,9.58,9.58,100,,21,1.5,11.10,1.7
Blake Bortles,QB,JAC,vs NE,28,21.50,6500,9.7,26.4,16.3,14.2,16.37,16.37,100,,61,2.5,33.54,5.2
Julian Edelman,WR,NE,@ JAC,26,23.50,6500,0,9.6,,,0.00,0.00,100,,52,0,,
Eli Manning,QB,NYG,@ DAL,13,19.50,6500,6.3,25.1,13.4,8.2,13.81,13.81,100,,53,2.1,13.56,2.1
Chris Carson,RB,SEA,@ CHI,12,19.25,6500,6.8,12.8,9.1,7.4,9.17,9.17,100,,72,1.4,2.40,0.4
Kenny Stills,WR,MIA,@ NYJ,13,20.00,6400,3.9,20.4,9.1,24.6,10.48,10.48,100,,22,1.6,2.70,0.4
Rashaad Penny,RB,SEA,@ CHI,12,19.25,6400,5.9,5.9,,6.3,5.88,5.88,100,,0,0.9,3.00,0.5
Greg Olsen,TE,CAR,@ ATL,11,19.25,6300,0,10.4,6.8,4.3,0.00,0.00,100,,34,0,,
DeSean Jackson,WR,TB,vs PHI,29,21.75,6300,1.4,18.4,8.1,29.1,8.16,8.16,100,,35,1.3,20.90,3.3
Will Fuller,WR,HOU,@ TEN,17,22.00,6300,0,17.8,9.9,,7.04,7.04,100,,12,1.1,21.30,3.4
Corey Davis,WR,TEN,vs HOU,31,19.00,6300,5.3,18.3,6.1,9.2,10.52,10.52,100,,17,1.7,8.00,1.3
Sam Bradford,QB,ARI,@ LAR,17,15.75,6300,7.3,22.3,13.5,3.8,13.30,13.30,100,,59,2.1,2.60,0.4
Cooper Kupp,WR,LAR,vs ARI,11,27.75,6300,4.6,18.1,10.2,15.3,9.97,9.97,100,,49,1.6,9.30,1.5
Marshawn Lynch,RB,OAK,@ DEN,1,19.50,6300,2.3,22.3,10.3,11.9,10.30,10.30,100,,40,1.6,13.80,2.2
Rex Burkhead,RB,NE,@ JAC,20,23.50,6300,4.1,19.6,10.2,7.4,10.27,10.27,100,,0,1.6,2.20,0.3
Phillip Dorsett,WR,NE,@ JAC,26,23.50,6300,2.5,12,2.9,16.1,6.27,6.27,100,,14,1,6.90,1.1
Randall Cobb,WR,GB,vs MIN,5,21.25,6200,2.1,19.6,9.0,24.7,9.08,9.08,100,,40,1.5,5.00,0.8
Ryan Tannehill,QB,MIA,@ NYJ,23,20.00,6200,9.1,24.1,,15.6,15.06,15.06,100,,64,2.4,17.12,2.8
Peyton Barber,RB,TB,vs PHI,17,21.75,6200,5.2,17.9,7.1,6.9,10.27,10.27,100,,9,1.7,3.40,0.5
Blaine Gabbert,QB,TEN,vs HOU,26,19.00,6200,0,14.3,13.5,3.7,4.70,4.70,100,,54,0.8,8.88,1.4
Derrick Henry,RB,TEN,vs HOU,21,19.00,6200,2.8,19.3,9.0,3.6,9.42,9.42,100,,18,1.5,5.92,1
Jordan Reed,TE,WAS,vs IND,20,27.00,6200,1.1,20.6,7.8,12.8,8.93,8.93,100,,28,1.4,6.50,1
Chris Thompson,RB,WAS,vs IND,15,27.00,6200,3.8,19.6,13.2,21.8,10.10,10.10,100,,28,1.6,15.80,2.5
Chris Hogan,WR,NE,@ JAC,26,23.50,6200,3.1,20.9,10.4,1.6,10.22,10.22,100,,11,1.6,17.70,2.9
T.J. Yeldon,RB,JAC,vs NE,13,21.50,6200,2.4,15.9,7.7,14.4,7.81,7.81,100,,39,1.3,8.10,1.3
Trey Burton,TE,CHI,vs SEA,22,23.25,6200,3.5,15,4.6,2.0,8.10,8.10,100,,0,1.3,10.20,1.6
Tarik Cohen,RB,CHI,vs SEA,3,23.25,6200,3,15.7,7.7,5.6,8.09,8.09,100,,33,1.3,3.00,0.5
Lamar Jackson,QB,BAL,@ CIN,2,22.25,6100,0,0,,4.9,0.00,0.00,100,,0,0,0.60,0.1
Josh Allen,QB,BUF,vs LAC,21,17.25,6100,10.6,10.6,,5.6,10.58,10.58,100,,0,1.7,15.00,2.5
Jamaal Williams,RB,GB,vs MIN,30,21.25,6100,1.5,23.8,9.3,4.7,10.41,10.41,100,,1,1.7,8.60,1.4
Nelson Agholor,WR,PHI,@ TB,32,24.75,6100,5.4,18.9,9.7,9.5,10.84,10.84,100,,16,1.8,19.00,3.1
Chris Godwin,WR,TB,vs PHI,29,21.75,6100,2,15.5,5.0,11.6,7.42,7.42,100,,0,1.2,14.10,2.3
Matt Breida,RB,SF,vs DET,2,27.25,6100,4,15,5.8,5.6,8.37,8.37,100,,24,1.4,23.40,3.8
Kerryon Johnson,RB,DET,@ SF,4,21.25,6100,7.1,7.1,,5.2,7.14,7.14,100,,0,1.2,9.10,1.5
Robert Griffin III,QB,BAL,@ CIN,2,22.25,6000,0,8.7,,,0.00,0.00,100,,50,0,,
Christian Hackenberg,QB,CIN,vs BAL,12,21.25,6000,0,0,,,0.00,0.00,100,,0,0,,
Alex Collins,RB,BAL,@ CIN,32,22.25,6000,6.3,21.8,10.6,6.4,12.53,12.53,100,,17,2.1,10.50,1.8
Jeff Driskel,QB,CIN,vs BAL,12,21.25,6000,0,0,,,0.00,0.00,100,,0,0,,
Matt Schaub,QB,ATL,vs CAR,22,24.25,6000,0,10.7,,,0.00,0.00,100,,0,0,0.00,
Taylor Heinicke,QB,CAR,@ ATL,25,19.25,6000,0,0,0.6,,0.00,0.00,100,,0,0,,
Devin Funchess,WR,CAR,@ ATL,28,19.25,6000,2.9,17.7,10.2,5.6,8.82,8.82,100,,17,1.5,11.20,1.9
Connor Cook,QB,CAR,@ ATL,25,19.25,6000,0,0.3,,,0.00,0.00,100,,0,0,,
Kurt Benkert,QB,ATL,vs CAR,22,24.25,6000,0,0,,,0.00,0.00,100,,0,0,,
Kyle Allen,QB,CAR,@ ATL,25,19.25,6000,0,0,,,0.00,0.00,100,,0,0,,
Geno Smith,QB,LAC,@ BUF,5,24.25,6000,0,11.7,4.8,,0.00,0.00,100,,27,0,-0.10,
Cardale Jones,QB,LAC,@ BUF,5,24.25,6000,0,0,,,0.00,0.00,100,,0,0,,
Nathan Peterman,QB,BUF,vs LAC,21,17.25,6000,0,5.6,3.1,-0.9,0.00,0.00,100,,0,0,,
Jimmy Graham,TE,GB,vs MIN,9,21.25,6000,1.4,17.6,8.9,1.8,7.87,7.87,100,,34,1.3,12.50,2.1
Trevor Siemian,QB,MIN,@ GB,15,23.25,6000,0,10.8,12.7,,0.00,0.00,100,,45,0,,
Kyle Sloter,QB,MIN,@ GB,15,23.25,6000,0,0,,,0.00,0.00,100,,0,0,,
DeShone Kizer,QB,GB,vs MIN,3,21.25,6000,0,13.2,13.2,-0.8,0.00,0.00,100,,28,0,,
Tim Boyle,QB,GB,vs MIN,3,21.25,6000,0,0,,,0.00,0.00,100,,0,0,,
Drew Stanton,QB,CLE,@ NO,9,20.75,6000,0,10.4,11.1,,0.00,0.00,100,,0,0,,
Teddy Bridgewater,QB,NO,vs CLE,6,29.75,6000,0,10.5,-1.3,,0.00,0.00,100,,47,0,,
Cameron Meredith,WR,NO,vs CLE,12,29.75,6000,0,10.7,,,0.00,0.00,100,,13,0,,
Joel Stave,QB,CLE,@ NO,9,20.75,6000,0,0,,,0.00,0.00,100,,0,0,,
Taysom Hill,QB,NO,vs CLE,6,29.75,6000,0,0,,,0.00,0.00,100,,0,0,0.00,
Baker Mayfield,QB,CLE,@ NO,9,20.75,6000,0,0,,,0.00,0.00,100,,0,0,,
Brogan Roback,QB,CLE,@ NO,9,20.75,6000,0,0,,,0.00,0.00,100,,0,0,,
Brock Osweiler,QB,MIA,@ NYJ,23,20.00,6000,0,10.7,12.2,,0.00,0.00,100,,40,0,,
Josh McCown,QB,NYJ,vs MIA,11,23.00,6000,0,12.3,16.5,,0.00,0.00,100,,45,0,,
David Fales,QB,MIA,@ NYJ,23,20.00,6000,0,14.1,10.2,,0.00,0.00,100,,0,0,,
Davis Webb,QB,NYJ,vs MIA,11,23.00,6000,0,0,,,0.00,0.00,100,,0,0,,
Luke Falk,QB,MIA,@ NYJ,23,20.00,6000,0,0,,,0.00,0.00,100,,0,0,,
Chad Henne,QB,KC,@ PIT,24,24.00,6000,0,10.7,-0.3,,0.00,0.00,100,,0,0,,
Joshua Dobbs,QB,PIT,vs KC,1,28.00,6000,0,0,,,0.00,0.00,100,,0,0,,
Chase Litton,QB,KC,@ PIT,24,24.00,6000,0,0,,,0.00,0.00,100,,0,0,,
Mason Rudolph,QB,PIT,vs KC,1,28.00,6000,0,0,,,0.00,0.00,100,,0,0,,
Ryan Griffin,QB,TB,vs PHI,29,21.75,6000,0,0,,,0.00,0.00,100,,0,0,,
Nate Sudfeld,QB,PHI,@ TB,31,24.75,6000,0,6,3.6,,0.00,0.00,100,,0,0,,
Brandon Weeden,QB,HOU,@ TEN,19,22.00,6000,0,7.8,,,0.00,0.00,100,,42,0,,
Joe Webb,QB,HOU,@ TEN,19,22.00,6000,0,1.5,2.9,,0.00,0.00,100,,0,0,,
Rishard Matthews,WR,TEN,vs HOU,31,19.00,6000,0,15.1,8.5,0.0,5.65,5.65,100,,26,0.9,1.80,0.3
Logan Woodside,QB,TEN,vs HOU,26,19.00,6000,0,0,,,0.00,0.00,100,,0,0,,
Colt McCoy,QB,WAS,vs IND,20,27.00,6000,0,11.7,,,0.00,0.00,100,,38,0,,
Jamison Crowder,WR,WAS,vs IND,16,27.00,6000,3.9,18.9,8.5,4.7,9.91,9.91,100,,27,1.7,4.70,0.8
Jacoby Brissett,QB,IND,@ WAS,30,21.00,6000,0,8.6,13.3,,0.00,0.00,100,,55,0,,
Phillip Walker,QB,IND,@ WAS,30,21.00,6000,0,0,,,0.00,0.00,100,,0,0,,
Marlon Mack,RB,IND,@ WAS,11,21.00,6000,2,13.2,6.6,,6.47,6.47,100,,32,1.1,4.10,0.7
Jordan Wilkins,RB,IND,@ WAS,11,21.00,6000,7.1,7.1,,7.6,7.10,7.10,100,,0,1.2,7.40,1.2
Mike Glennon,QB,ARI,@ LAR,17,15.75,6000,0,6.6,9.7,,0.00,0.00,100,,66,0,,
Sean Mannion,QB,LAR,vs ARI,14,27.75,6000,0,2.7,1.0,,0.00,0.00,100,,0,0,,
Brandon Allen,QB,LAR,vs ARI,14,27.75,6000,0,0,,,0.00,0.00,100,,0,0,,
Chad Kanoff,QB,ARI,@ LAR,17,15.75,6000,0,0,,,0.00,0.00,100,,0,0,,
Josh Rosen,QB,ARI,@ LAR,17,15.75,6000,0,0,,,0.00,0.00,100,,0,0,,
Matt Cassel,QB,DET,@ SF,7,21.25,6000,0,9.6,2.2,-0.5,0.00,0.00,100,,6,0,,
Jake Rudock,QB,DET,@ SF,7,21.25,6000,0,0,0.0,,0.00,0.00,100,,0,0,,
C.J. Beathard,QB,SF,vs DET,4,27.25,6000,0,8,15.8,,0.00,0.00,100,,66,0,,
Nick Mullens,QB,SF,vs DET,4,27.25,6000,0,0,,,0.00,0.00,100,,0,0,,
Jordy Nelson,WR,OAK,@ DEN,21,19.50,6000,0,21.3,7.9,3.8,8.40,8.40,100,,35,1.4,4.00,0.7
AJ McCarron,QB,OAK,@ DEN,27,19.50,6000,0,10.1,1.3,,0.00,0.00,100,,4,0,,
Kevin Hogan,QB,DEN,vs OAK,18,25.50,6000,0,10.8,9.7,,0.00,0.00,100,,12,0,,
Chad Kelly,QB,DEN,vs OAK,18,25.50,6000,0,0,,,0.00,0.00,100,,0,0,,
Royce Freeman,RB,DEN,vs OAK,24,25.50,6000,10.1,10.1,,7.1,10.14,10.14,100,,0,1.7,8.80,1.5
Brian Hoyer,QB,NE,@ JAC,16,23.50,6000,0,12.3,6.2,,0.00,0.00,100,,28,0,,
Cody Kessler,QB,JAC,vs NE,28,21.50,6000,0,9.3,1.3,,0.00,0.00,100,,10,0,,
Tanner Lee,QB,JAC,vs NE,28,21.50,6000,0,0,,,0.00,0.00,100,,0,0,,
Danny Etling,QB,NE,@ JAC,16,23.50,6000,0,0,,,0.00,0.00,100,,0,0,,
Alex Tanney,QB,NYG,@ DAL,13,19.50,6000,0,0,,,0.00,0.00,100,,0,0,,
Sterling Shepard,WR,NYG,@ DAL,8,19.50,6000,2.1,17.4,10.5,7.3,8.20,8.20,100,,37,1.4,3.90,0.7
Cooper Rush,QB,DAL,vs NYG,8,22.50,6000,0,1.1,0.7,,0.00,0.00,100,,0,0,,
Mike White,QB,DAL,vs NYG,8,22.50,6000,0,0,,,0.00,0.00,100,,0,0,,
Kyle Lauletta,QB,NYG,@ DAL,13,19.50,6000,0,0,,,0.00,0.00,100,,0,0,,
Austin Davis,QB,SEA,@ CHI,32,19.25,6000,0,10.1,-0.1,,0.00,0.00,100,,37,0,,
Chase Daniel,QB,CHI,vs SEA,10,23.25,6000,0,4.2,-0.2,,0.00,0.00,100,,0,0,,
Brett Hundley,QB,SEA,@ CHI,32,19.25,6000,0,12.3,12.4,,0.00,0.00,100,,5,0,,
Tyler Bray,QB,CHI,vs SEA,10,23.25,6000,0,0,-2.0,,0.00,0.00,100,,0,0,,
Alex McGough,QB,SEA,@ CHI,32,19.25,6000,0,0,,,0.00,0.00,100,,0,0,,
John Brown,WR,BAL,@ CIN,2,22.25,5900,1.4,15.9,5.9,12.0,7.18,7.18,100,,28,1.2,17.20,2.9
Tevin Coleman,RB,ATL,vs CAR,31,24.25,5900,6.5,23,10.1,11.0,13.09,13.09,100,,31,2.2,14.50,2.5
Kyle Rudolph,TE,MIN,@ GB,10,23.25,5900,3,15.5,8.0,7.6,7.95,7.95,100,,38,1.3,10.70,1.8
David Njoku,TE,CLE,@ NO,3,20.75,5900,1.9,12.9,4.9,2.8,6.30,6.30,100,,8,1.1,4.00,0.7
James White,RB,NE,@ JAC,20,23.50,5900,3.6,17.3,8.7,13.6,9.05,9.05,100,,32,1.5,11.90,2
Tyrell Williams,WR,LAC,@ BUF,30,24.25,5800,0.1,16.1,7.3,7.8,6.52,6.52,100,,30,1.1,6.30,1.1
DeVante Parker,WR,MIA,@ NYJ,13,20.00,5800,0,12.7,7.8,,4.76,4.76,100,,38,0.8,,
Sammy Watkins,WR,KC,@ PIT,15,24.00,5800,0,19.7,8.1,3.6,7.51,7.51,100,,21,1.3,16.10,2.8
Delanie Walker,TE,TEN,vs HOU,1,19.00,5800,0,8.3,8.6,7.2,0.00,0.00,100,,47,0,,
Alfred Morris,RB,SF,vs DET,2,27.25,5800,2,16.3,5.3,1.8,7.73,7.73,100,,10,1.3,9.00,1.6
Marquise Goodwin,WR,SF,vs DET,6,27.25,5800,0,8.4,8.8,0.0,0.00,0.00,100,,0,0,,
Evan Engram,TE,NYG,@ DAL,27,19.50,5800,1.8,16.8,9.4,2.8,7.77,7.77,100,,33,1.3,16.20,2.8
Anthony Miller,WR,CHI,vs SEA,1,23.25,5800,7.6,7.6,,2.4,7.56,7.56,100,,0,1.3,8.10,1.4
Ty Montgomery,RB,GB,vs MIN,30,21.25,5700,0,19,10.0,3.8,7.56,7.56,100,,7,1.3,4.50,0.8
Paul Richardson,WR,WAS,vs IND,16,27.00,5700,2,14,8.0,4.2,6.79,6.79,100,,16,1.2,8.30,1.5
Josh Doctson,WR,WAS,vs IND,16,27.00,5700,2.3,11.6,6.8,1.6,6.04,6.04,100,,40,1.1,5.70,1
