Player,Pos,Team,Opp,Def v Pos,VegasPts,Salary,Floor,Ceiling,2017 Avg,2018 Avg,FC Proj,My Proj,Exp.,Used,Con.,Value,Actual Score,Actual Val
Todd Gurley,RB,LAR,@ DEN,2,28.50,9500,12.9,37.4,22.8,26.0,22.74,22.74,100,,44,2.4,35.50,3.7
Antonio Brown,WR,PIT,@ CIN,2,24.25,9100,11.2,33.9,19.2,17.0,20.29,20.29,100,,52,2.2,19.00,2.1
DeAndre Hopkins,WR,HOU,vs BUF,19,25.00,9000,9.1,28.4,17.5,17.6,16.80,16.80,100,,46,1.9,14.80,1.6
Patrick Mahomes II,QB,KC,@ NE,14,28.25,9000,16,37.5,11.4,26.6,24.62,24.62,100,,64,2.7,28.98,3.2
A.J. Green,WR,CIN,vs PIT,25,25.25,8800,6.9,28.2,11.8,16.4,15.44,15.44,100,,39,1.8,12.00,1.4
Melvin Gordon,RB,LAC,@ CLE,20,23.00,8800,10.7,32.4,16.2,22.7,19.36,19.36,100,,40,2.2,34.00,3.9
Tom Brady,QB,NE,vs KC,7,31.25,8800,17.1,35.8,20.0,19.5,24.56,24.56,100,,63,2.8,21.80,2.5
Aaron Rodgers,QB,GB,vs SF,13,27.50,8700,15.4,34.4,19.4,21.1,23.04,23.04,100,,65,2.6,28.40,3.3
Odell Beckham Jr.,WR,NYG,vs PHI,24,22.25,8600,7.7,29.7,15.4,15.4,16.45,16.45,100,,49,1.9,7.40,0.9
Adam Thielen,WR,MIN,vs ARI,16,26.50,8600,8,28.8,11.6,20.1,16.30,16.30,100,,11,1.9,23.80,2.8
Julio Jones,WR,ATL,vs TB,20,30.00,8500,7,30.2,13.5,14.9,16.26,16.26,100,,43,1.9,19.40,2.3
Ben Roethlisberger,QB,PIT,@ CIN,5,24.25,8500,12.1,33.6,19.5,22.9,20.66,20.66,100,,55,2.4,21.06,2.5
Cam Newton,QB,CAR,@ WAS,27,22.75,8400,13.3,33.8,20.1,23.7,21.54,21.54,100,,60,2.6,24.30,2.9
Christian McCaffrey,RB,CAR,@ WAS,21,22.75,8400,12.3,26,12.3,17.4,17.75,17.75,100,,59,2.1,10.10,1.2
Davante Adams,WR,GB,vs SF,3,27.50,8400,10.4,28.7,13.3,17.0,17.72,17.72,100,,31,2.1,30.20,3.6
Matt Ryan,QB,ATL,vs TB,24,30.00,8300,15.4,33.2,14.8,25.1,22.51,22.51,100,,62,2.7,27.50,3.3
Philip Rivers,QB,LAC,@ CLE,6,23.00,8300,12.3,28.6,17.5,22.8,18.80,18.80,100,,64,2.3,15.28,1.8
Saquon Barkley,RB,NYG,vs PHI,12,22.25,8200,15,23,,20.7,18.18,18.18,100,,85,2.2,33.40,4.1
James Conner,RB,PIT,@ CIN,30,24.25,8200,7.2,32.9,1.2,20.2,17.49,17.49,100,,0,2.1,26.90,3.3
Stefon Diggs,WR,MIN,vs ARI,16,26.50,8200,6.2,26.2,12.5,16.4,14.21,14.21,100,,32,1.7,5.70,0.7
Jared Goff,QB,LAR,@ DEN,31,28.50,8200,13,33,17.3,23.8,20.97,20.97,100,,51,2.6,8.44,1
Keenan Allen,WR,LAC,@ CLE,6,23.00,8100,5.9,26.6,14.2,11.5,14.17,14.17,100,,35,1.7,12.30,1.5
Deshaun Watson,QB,HOU,vs BUF,2,25.00,8100,14.3,36.6,25.3,23.2,23.24,23.24,100,,64,2.9,7.28,0.9
Ezekiel Elliott,RB,DAL,vs JAC,32,18.25,8100,9.4,29.7,19.0,18.1,17.51,17.51,100,,58,2.2,18.20,2.2
Mike Evans,WR,TB,@ ATL,28,27.00,8000,7.1,25.9,11.2,18.3,14.62,14.62,100,,45,1.8,7.80,1
Kirk Cousins,QB,MIN,vs ARI,15,26.50,7900,13.9,33.2,18.2,22.3,21.63,21.63,100,,59,2.7,18.12,2.3
Rob Gronkowski,TE,NE,vs KC,5,31.25,7900,4.6,24.1,15.0,9.3,12.35,12.35,100,,45,1.6,11.20,1.4
JuJu Smith-Schuster,WR,PIT,@ CIN,2,24.25,7800,6.7,26.7,11.8,14.9,14.65,14.65,100,,37,1.9,16.60,2.1
Andrew Luck,QB,IND,@ NYJ,21,22.75,7800,12.4,30.6,,21.6,19.68,19.68,100,,66,2.5,25.74,3.3
Brandin Cooks,WR,LAR,@ DEN,29,28.50,7800,5.5,25,11.0,16.5,13.26,13.26,100,,38,1.7,6.30,0.8
Tyreek Hill,WR,KC,@ NE,4,28.25,7800,8.8,29,13.9,16.7,16.85,16.85,100,,38,2.2,35.70,4.6
Kareem Hunt,RB,KC,@ NE,5,28.25,7800,3.8,27.8,16.5,15.3,13.35,13.35,100,,41,1.7,27.00,3.5
Leonard Fournette,RB,JAC,@ DAL,29,21.25,7700,0,11.4,16.8,5.5,0.00,0.00,100,,51,0,,
Travis Kelce,TE,KC,@ NE,31,28.25,7700,8.8,24.5,13.0,14.5,15.05,15.05,100,,43,2,8.60,1.1
Russell Wilson,QB,SEA,@ OAK,25,25.50,7600,12,31.3,22.4,16.5,19.71,19.71,100,,62,2.6,21.88,2.9
Zach Ertz,TE,PHI,@ NYG,21,23.25,7500,7.2,22.7,11.7,14.0,13.38,13.38,100,,37,1.8,13.80,1.8
Carson Wentz,QB,PHI,@ NYG,11,23.25,7500,13.4,28.4,22.4,18.0,19.36,19.36,100,,66,2.6,24.52,3.3
Andy Dalton,QB,CIN,vs PIT,32,25.25,7500,15.7,32.4,13.9,20.4,22.38,22.38,100,,59,3,17.16,2.3
Joe Mixon,RB,CIN,vs PIT,11,25.25,7500,10.3,25.6,9.0,17.2,16.40,16.40,100,,42,2.2,16.40,2.2
David Johnson,RB,ARI,@ MIN,24,16.50,7500,5.5,29.7,10.1,14.3,15.16,15.16,100,,43,2,11.90,1.6
Jameis Winston,QB,TB,@ ATL,26,27.00,7400,15.2,30.2,16.4,8.5,21.21,21.21,100,,65,2.9,32.70,4.4
Mitchell Trubisky,QB,CHI,@ MIA,4,23.75,7400,10.4,32.7,11.8,20.1,19.30,19.30,100,,36,2.6,28.34,3.8
Alex Smith,QB,WAS,vs CAR,10,21.75,7400,12.3,27.5,20.0,16.3,18.39,18.39,100,,64,2.5,15.82,2.1
Will Fuller,WR,HOU,vs BUF,19,25.00,7300,4,22.8,9.9,13.8,11.51,11.51,100,,16,1.6,4.30,0.6
T.Y. Hilton,WR,IND,@ NYJ,22,22.75,7300,0,12.3,9.2,13.0,0.00,0.00,100,,32,0,,
Robert Woods,WR,LAR,@ DEN,29,28.50,7300,7.1,24.8,11.8,16.2,14.17,14.17,100,,22,1.9,15.60,2.1
Baker Mayfield,QB,CLE,vs LAC,23,24.00,7100,14.5,23.8,,14.5,18.24,18.24,100,,74,2.6,14.32,2
T.J. Yeldon,RB,JAC,@ DAL,29,21.25,7100,11.4,26.2,7.7,15.6,17.33,17.33,100,,39,2.4,8.50,1.2
James White,RB,NE,vs KC,25,31.25,7100,10.9,25.9,8.7,16.8,16.93,16.93,100,,32,2.4,11.70,1.6
Sony Michel,RB,NE,vs KC,25,31.25,7100,8.7,24.2,,11.2,14.86,14.86,100,,45,2.1,22.60,3.2
Joe Flacco,QB,BAL,@ TEN,19,22.75,7000,11.1,26.9,12.4,18.3,17.40,17.40,100,,61,2.5,12.92,1.8
Jarvis Landry,WR,CLE,vs LAC,32,24.00,6900,7.6,21.3,12.8,12.1,13.05,13.05,100,,53,1.9,2.10,0.3
Derek Carr,QB,OAK,vs SEA,1,22.50,6900,11.2,29.2,14.6,17.6,18.43,18.43,100,,55,2.7,4.78,0.7
Adrian Peterson,RB,WAS,vs CAR,16,21.75,6900,4.2,25.7,7.3,14.3,12.82,12.82,100,,25,1.9,9.70,1.4
Blake Bortles,QB,JAC,@ DAL,17,21.25,6900,12.1,29.6,16.3,21.3,19.11,19.11,100,,60,2.8,11.16,1.6
Julian Edelman,WR,NE,vs KC,15,31.25,6900,8.4,24.2,,9.2,14.74,14.74,100,,53,2.1,14.10,2
Alshon Jeffery,WR,PHI,@ NYG,12,23.25,6800,4.9,20.9,11.2,12.7,11.31,11.31,100,,48,1.7,23.40,3.4
Eli Manning,QB,NYG,vs PHI,20,22.25,6800,9.2,27.4,13.4,15.5,16.45,16.45,100,,55,2.4,10.24,1.5
Sam Darnold,QB,NYJ,vs IND,12,24.75,6800,10.6,22.8,,13.2,15.49,15.49,100,,63,2.3,19.00,2.8
Cooper Kupp,WR,LAR,@ DEN,29,28.50,6800,7.9,25.1,10.2,18.0,14.77,14.77,100,,43,2.2,1.20,0.2
Dak Prescott,QB,DAL,vs JAC,3,18.25,6800,7,25.7,17.1,13.3,14.45,14.45,100,,57,2.1,29.52,4.3
Marcus Mariota,QB,TEN,vs BAL,22,20.75,6800,7.2,28.4,16.1,12.3,15.69,15.69,100,,50,2.3,7.18,1.1
Calvin Ridley,WR,ATL,vs TB,20,30.00,6700,0,30.3,,15.4,11.06,11.06,100,,17,1.7,6.20,0.9
Isaiah Crowell,RB,NYJ,vs IND,23,24.75,6700,5.4,22.1,8.1,15.1,12.06,12.06,100,,28,1.8,6.20,0.9
Case Keenum,QB,DEN,vs LAR,18,21.50,6700,9.4,27.1,16.0,15.0,16.48,16.48,100,,49,2.5,20.48,3.1
Emmanuel Sanders,WR,DEN,vs LAR,27,21.50,6700,4.6,23.8,7.6,14.5,12.29,12.29,100,,37,1.8,21.00,3.1
Devonta Freeman,RB,ATL,vs TB,22,30.00,6600,0,14,13.0,5.8,0.00,0.00,100,,28,0,,
Carlos Hyde,RB,CLE,vs LAC,15,24.00,6600,5.4,23.7,12.8,14.1,12.71,12.71,100,,33,1.9,3.40,0.5
Ryan Tannehill,QB,MIA,vs CHI,30,16.75,6600,0,9.6,,13.8,0.00,0.00,100,,61,0,,
Tyler Lockett,WR,SEA,@ OAK,8,25.50,6600,4.8,20.8,6.4,14.0,11.24,11.24,100,,20,1.7,9.50,1.4
Josh Gordon,WR,NE,vs KC,15,31.25,6600,10.2,20.7,9.7,8.1,14.44,14.44,100,,53,2.2,6.70,1
DeSean Jackson,WR,TB,@ ATL,28,27.00,6500,6.9,23.9,8.1,17.2,13.67,13.67,100,,35,2.1,10.40,1.6
Allen Robinson,WR,CHI,@ MIA,5,23.75,6500,3.9,22.9,2.2,9.3,11.50,11.50,100,,36,1.8,14.90,2.3
Eric Ebron,TE,IND,@ NYJ,27,22.75,6500,5.8,18.8,6.6,13.7,10.99,10.99,100,,28,1.7,15.00,2.3
Marshawn Lynch,RB,OAK,vs SEA,6,22.50,6500,6.2,25.5,10.3,12.8,13.90,13.90,100,,43,2.1,7.40,1.1
