Player,Pos,Team,Opp,Def v Pos,VegasPts,Salary,Floor,Ceiling,2017 Avg,2018 Avg,FC Proj,My Proj,Exp.,Used,Con.,Value,Actual Score,Actual Val
Demaryius Thomas,WR,DEN,vs LAR,27,21.50,6500,5.5,23,10.3,10.4,12.51,12.51,100,,45,1.9,13.20,2
Giovani Bernard,RB,CIN,vs PIT,11,25.25,6400,0,9.5,8.1,12.1,0.00,0.00,100,,38,0,,
Josh Allen,QB,BUF,@ HOU,29,15.00,6400,6.8,28,,12.5,15.26,15.26,100,,32,2.4,5.36,0.8
Josh Rosen,QB,ARI,@ MIN,9,16.50,6400,8.1,19.8,,8.2,12.79,12.79,100,,43,2,8.60,1.3
Jared Cook,TE,OAK,vs SEA,12,22.50,6400,4.7,19.5,6.6,13.2,10.60,10.60,100,,13,1.7,2.00,0.3
Amari Cooper,WR,OAK,vs SEA,1,22.50,6400,2.5,23.5,9.6,9.2,10.87,10.87,100,,21,1.7,0.00,
Chris Carson,RB,SEA,@ OAK,27,25.50,6400,8.1,20.3,9.1,10.6,12.98,12.98,100,,50,2,5.90,0.9
Sammy Watkins,WR,KC,@ NE,4,28.25,6400,3.2,23.2,8.1,9.3,11.20,11.20,100,,22,1.8,2.70,0.4
Jimmy Graham,TE,GB,vs SF,22,27.50,6400,4.7,20.7,8.9,8.3,11.10,11.10,100,,35,1.7,12.90,2
George Kittle,TE,SF,@ GB,10,18.50,6400,7.6,21.6,5.7,11.9,13.15,13.15,100,,22,2.1,5.00,0.8
Sterling Shepard,WR,NYG,vs PHI,24,22.25,6300,4.8,20.3,10.5,11.7,10.99,10.99,100,,39,1.7,5.20,0.8
Tevin Coleman,RB,ATL,vs TB,22,30.00,6300,7.9,24.1,10.1,10.1,14.38,14.38,100,,32,2.3,10.60,1.7
Tyler Boyd,WR,CIN,vs PIT,25,25.25,6300,8.2,22.4,4.6,13.4,13.88,13.88,100,,16,2.2,21.70,3.4
Kenyan Drake,RB,MIA,vs CHI,17,16.75,6300,4.4,21.9,7.9,9.6,11.40,11.40,100,,0,1.8,7.80,1.2
Dalvin Cook,RB,MIN,vs ARI,4,26.50,6300,0,10.1,15.0,7.7,0.00,0.00,100,,43,0,,
Nyheim Hines,RB,IND,@ NYJ,9,22.75,6300,3.7,19.7,,11.8,10.09,10.09,100,,46,1.6,4.50,0.7
Devin Funchess,WR,CAR,@ WAS,23,22.75,6300,5.1,19.6,10.2,9.7,10.94,10.94,100,,21,1.7,15.90,2.5
John Brown,WR,BAL,@ TEN,21,22.75,6300,6.9,21.6,5.9,13.5,12.78,12.78,100,,30,2,3.80,0.6
Corey Davis,WR,TEN,vs BAL,26,20.75,6300,5.5,21.7,6.1,11.0,11.95,11.95,100,,12,1.9,2.90,0.5
C.J. Beathard,QB,SF,@ GB,28,18.50,6300,13.2,26.2,15.8,21.2,18.40,18.40,100,,70,2.9,18.90,3
Jay Ajayi,RB,PHI,@ NYG,26,23.25,6200,0,10.2,8.8,10.2,0.00,0.00,100,,28,0,,
Austin Ekeler,RB,LAC,@ CLE,20,23.00,6200,3.9,20.7,6.7,12.8,10.63,10.63,100,,19,1.7,6.00,1
LeSean McCoy,RB,BUF,@ HOU,3,15.00,6200,3.7,22.5,14.6,7.1,11.24,11.24,100,,47,1.8,10.90,1.8
Jordan Howard,RB,CHI,@ MIA,13,23.75,6200,5.6,25.3,11.8,9.8,13.48,13.48,100,,37,2.2,4.90,0.8
Kyle Rudolph,TE,MIN,vs ARI,24,26.50,6200,4.7,17,8.0,9.3,9.60,9.60,100,,40,1.5,5.70,0.9
Larry Fitzgerald,WR,ARI,@ MIN,18,16.50,6200,2.7,21.2,12.9,5.2,10.13,10.13,100,,36,1.6,6.40,1
Doug Baldwin,WR,SEA,@ OAK,8,25.50,6200,3.8,23.3,11.7,2.4,11.58,11.58,100,,33,1.9,12.10,2
Jordan Reed,TE,WAS,vs CAR,16,21.75,6200,2.4,21.7,7.8,7.6,10.14,10.14,100,,27,1.6,6.10,1
Michael Crabtree,WR,BAL,@ TEN,21,22.75,6200,4,20.5,11.0,8.6,10.59,10.59,100,,37,1.7,18.30,3
Alex Collins,RB,BAL,@ TEN,28,22.75,6200,3.8,18.8,10.6,9.6,9.83,9.83,100,,24,1.6,17.40,2.8
Chris Hogan,WR,NE,vs KC,15,31.25,6200,3.1,20.6,10.4,6.4,10.09,10.09,100,,13,1.6,9.80,1.6
Matt Breida,RB,SF,@ GB,14,18.50,6200,0.9,15.2,5.8,12.7,6.60,6.60,100,,23,1.1,12.10,2
Mike Williams,WR,LAC,@ CLE,6,23.00,6100,4.9,19.2,1.7,10.1,10.63,10.63,100,,0,1.7,1.90,0.3
Lamar Miller,RB,HOU,vs BUF,19,25.00,6100,3.9,21.4,11.0,9.0,10.91,10.91,100,,42,1.8,8.10,1.3
Chris Thompson,RB,WAS,vs CAR,16,21.75,6100,0,9.3,13.2,12.3,0.00,0.00,100,,30,0,,
Phillip Lindsay,RB,DEN,vs LAR,7,21.50,6100,7.2,20.2,,11.1,12.39,12.39,100,,53,2,9.60,1.6
Lamar Jackson,QB,BAL,@ TEN,19,22.75,6100,0,3.9,,1.6,1.35,1.35,100,,0,0.2,2.20,0.4
Randall Cobb,WR,GB,vs SF,3,27.50,6100,0,10.5,9.0,10.6,0.00,0.00,100,,39,0,,
Nick Foles,QB,PHI,@ NYG,11,23.25,6000,0,12.8,10.4,10.9,0.00,0.00,100,,28,0,,
Alex Tanney,QB,NYG,vs PHI,20,22.25,6000,0,0,,,0.00,0.00,100,,0,0,,
Nelson Agholor,WR,PHI,@ NYG,12,23.25,6000,4.1,17.8,9.7,8.8,9.55,9.55,100,,17,1.6,10.60,1.8
Nate Sudfeld,QB,PHI,@ NYG,11,23.25,6000,0,6,3.6,,0.00,0.00,100,,0,0,,
Kyle Lauletta,QB,NYG,vs PHI,20,22.25,6000,0,0,,,0.00,0.00,100,,0,0,,
Matt Schaub,QB,ATL,vs TB,24,30.00,6000,0,9.6,,0.3,0.00,0.00,100,,0,0,,
Ryan Fitzpatrick,QB,TB,@ ATL,26,27.00,6000,0,13.4,12.8,26.4,0.00,0.00,100,,44,0,,
Ryan Griffin,QB,TB,@ ATL,26,27.00,6000,0,0,,,0.00,0.00,100,,0,0,,
Kurt Benkert,QB,ATL,vs TB,24,30.00,6000,0,0,,,0.00,0.00,100,,0,0,,
Christian Hackenberg,QB,CIN,vs PIT,32,25.25,6000,0,0,,,0.00,0.00,100,,0,0,,
Jeff Driskel,QB,CIN,vs PIT,32,25.25,6000,0,0,,,0.00,0.00,100,,0,0,,
Joshua Dobbs,QB,PIT,@ CIN,5,24.25,6000,0,0,,-0.3,0.00,0.00,100,,0,0,,
Mason Rudolph,QB,PIT,@ CIN,5,24.25,6000,0,0,,,0.00,0.00,100,,0,0,,
Drew Stanton,QB,CLE,vs LAC,23,24.00,6000,0,10.4,11.1,,0.00,0.00,100,,0,0,,
Geno Smith,QB,LAC,@ CLE,6,23.00,6000,0,12,4.8,-0.1,0.00,0.00,100,,22,0,0.12,0
Tyrod Taylor,QB,CLE,vs LAC,23,24.00,6000,0,11,14.6,14.3,0.00,0.00,100,,57,0,,
Cardale Jones,QB,LAC,@ CLE,6,23.00,6000,0,0,,,0.00,0.00,100,,0,0,,
Brandon Weeden,QB,HOU,vs BUF,2,25.00,6000,0,7.8,,,0.00,0.00,100,,42,0,,
Joe Webb,QB,HOU,vs BUF,2,25.00,6000,0,1.5,2.9,,0.00,0.00,100,,0,0,,
Nathan Peterman,QB,BUF,@ HOU,29,15.00,6000,0,5.6,3.1,-0.9,0.00,0.00,100,,0,0,4.64,0.8
Brock Osweiler,QB,MIA,vs CHI,30,16.75,6000,2.7,20.2,12.2,6.1,9.68,9.68,100,,40,1.6,28.00,4.7
Chase Daniel,QB,CHI,@ MIA,4,23.75,6000,0,3.9,-0.2,-0.2,0.00,0.00,100,,0,0,,
David Fales,QB,MIA,vs CHI,30,16.75,6000,0,14.1,10.2,,0.00,0.00,100,,0,0,,
Tyler Bray,QB,CHI,@ MIA,4,23.75,6000,0,0,-2.0,,0.00,0.00,100,,0,0,,
Luke Falk,QB,MIA,vs CHI,30,16.75,6000,0,0,,,0.00,0.00,100,,0,0,,
Mike Glennon,QB,ARI,@ MIN,9,16.50,6000,0,6.6,9.7,,0.00,0.00,100,,66,0,,
Trevor Siemian,QB,MIN,vs ARI,15,26.50,6000,0,10.8,12.7,,0.00,0.00,100,,45,0,,
Sam Bradford,QB,ARI,@ MIN,9,16.50,6000,0,9.3,13.5,5.6,0.00,0.00,100,,56,0,,
Kyle Sloter,QB,MIN,vs ARI,15,26.50,6000,0,0,,,0.00,0.00,100,,0,0,,
Chad Kanoff,QB,ARI,@ MIN,9,16.50,6000,0,0,,,0.00,0.00,100,,0,0,,
Josh McCown,QB,NYJ,vs IND,12,24.75,6000,0,12.3,16.5,,0.00,0.00,100,,45,0,,
Jacoby Brissett,QB,IND,@ NYJ,21,22.75,6000,0,9.3,13.3,0.0,0.00,0.00,100,,49,0,,
Davis Webb,QB,NYJ,vs IND,12,24.75,6000,0,0,,,0.00,0.00,100,,0,0,,
Phillip Walker,QB,IND,@ NYJ,21,22.75,6000,0,0,,,0.00,0.00,100,,0,0,,
Brett Hundley,QB,SEA,@ OAK,25,25.50,6000,0,12.3,12.4,,0.00,0.00,100,,5,0,,
AJ McCarron,QB,OAK,vs SEA,1,22.50,6000,0,10.1,1.3,,0.00,0.00,100,,4,0,,
Alex McGough,QB,SEA,@ OAK,25,25.50,6000,0,0,,,0.00,0.00,100,,0,0,,
Colt McCoy,QB,WAS,vs CAR,10,21.75,6000,0,11.7,,,0.00,0.00,100,,38,0,,
Taylor Heinicke,QB,CAR,@ WAS,27,22.75,6000,0,0,0.6,,0.00,0.00,100,,0,0,,
Connor Cook,QB,CAR,@ WAS,27,22.75,6000,0,0.3,,,0.00,0.00,100,,0,0,,
Sean Mannion,QB,LAR,@ DEN,31,28.50,6000,0,2.7,1.0,,0.00,0.00,100,,0,0,,
Kevin Hogan,QB,DEN,vs LAR,18,21.50,6000,0,10.8,9.7,,0.00,0.00,100,,12,0,,
Brandon Allen,QB,LAR,@ DEN,31,28.50,6000,0,0,,,0.00,0.00,100,,0,0,,
Chad Kelly,QB,DEN,vs LAR,18,21.50,6000,0,0,,,0.00,0.00,100,,0,0,-0.10,
Royce Freeman,RB,DEN,vs LAR,7,21.50,6000,7.5,14.2,,9.4,10.15,10.15,100,,71,1.7,2.20,0.4
Cody Kessler,QB,JAC,@ DAL,17,21.25,6000,0,9.3,1.3,,0.00,0.00,100,,10,0,,
Cooper Rush,QB,DAL,vs JAC,3,18.25,6000,0,1.1,0.7,,0.00,0.00,100,,0,0,,
Mike White,QB,DAL,vs JAC,3,18.25,6000,0,0,,,0.00,0.00,100,,0,0,,
Tanner Lee,QB,JAC,@ DAL,17,21.25,6000,0,0,,,0.00,0.00,100,,0,0,,
Austin Davis,QB,TEN,vs BAL,22,20.75,6000,0,10.1,-0.1,,0.00,0.00,100,,37,0,,
Blaine Gabbert,QB,TEN,vs BAL,22,20.75,6000,0,10.1,13.5,4.3,0.00,0.00,100,,49,0,,
Robert Griffin III,QB,BAL,@ TEN,19,22.75,6000,0,8.7,,,0.00,0.00,100,,50,0,,
Brian Hoyer,QB,NE,vs KC,7,31.25,6000,0,12.5,6.2,-0.3,0.00,0.00,100,,25,0,,
Chad Henne,QB,KC,@ NE,14,28.25,6000,0,10.7,-0.3,,0.00,0.00,100,,0,0,,
Chase Litton,QB,KC,@ NE,14,28.25,6000,0,0,,,0.00,0.00,100,,0,0,,
Danny Etling,QB,NE,vs KC,7,31.25,6000,0,0,,,0.00,0.00,100,,0,0,,
Aaron Jones,RB,GB,vs SF,10,27.50,6000,5.8,22.5,7.6,8.9,12.49,12.49,100,,15,2.1,4.10,0.7
DeShone Kizer,QB,GB,vs SF,13,27.50,6000,0,13.2,13.2,-0.8,0.00,0.00,100,,28,0,,
Nick Mullens,QB,SF,@ GB,28,18.50,6000,0,0,,,0.00,0.00,100,,0,0,,
Tim Boyle,QB,GB,vs SF,13,27.50,6000,0,0,,,0.00,0.00,100,,0,0,,
Chris Godwin,WR,TB,@ ATL,28,27.00,5900,5.4,19.7,5.0,10.7,11.11,11.11,100,,8,1.9,14.60,2.5
Tarik Cohen,RB,CHI,@ MIA,13,23.75,5900,3.8,19.8,7.7,11.0,10.21,10.21,100,,24,1.7,19.60,3.3
Greg Olsen,TE,CAR,@ WAS,26,22.75,5900,0,16.7,6.8,4.3,6.35,6.35,100,,34,1.1,6.80,1.2
Alfred Morris,RB,SF,@ GB,14,18.50,5900,1.4,15.4,5.3,7.3,7.04,7.04,100,,14,1.2,,
Mohamed Sanu,WR,ATL,vs TB,20,30.00,5800,4.9,18.9,9.2,9.9,10.45,10.45,100,,30,1.8,11.60,2
Kenny Stills,WR,MIA,vs CHI,14,16.75,5800,4.1,20.4,9.1,9.8,10.61,10.61,100,,23,1.8,6.00,1
Trey Burton,TE,CHI,@ MIA,1,23.75,5800,4.9,17.2,4.6,8.8,9.80,9.80,100,,0,1.7,10.30,1.8
Bilal Powell,RB,NYJ,vs IND,23,24.75,5800,4.6,22.1,8.9,9.2,11.57,11.57,100,,14,2,5.90,1
Quincy Enunwa,WR,NYJ,vs IND,9,24.75,5800,5.2,18.2,,8.9,10.35,10.35,100,,27,1.8,-0.60,
Keke Coutee,WR,HOU,vs BUF,19,25.00,5700,10.7,12.9,,15.3,11.59,11.59,100,,0,2,4.80,0.8
Chester Rogers,WR,IND,@ NYJ,22,22.75,5700,4.7,15.9,4.7,6.8,9.15,9.15,100,,0,1.6,13.50,2.4
Mike Davis,RB,SEA,@ OAK,27,25.50,5700,3.7,19,7.4,10.7,9.83,9.83,100,,0,1.7,3.10,0.5
Paul Richardson,WR,WAS,vs CAR,17,21.75,5700,3.5,15.5,8.0,7.7,8.32,8.32,100,,19,1.5,10.80,1.9
Jamison Crowder,WR,WAS,vs CAR,17,21.75,5700,0,8.7,8.5,7.4,0.00,0.00,100,,29,0,,
Donte Moncrief,WR,JAC,@ DAL,13,21.25,5700,4.4,20.2,5.3,8.8,10.70,10.70,100,,15,1.9,0.00,
Keelan Cole,WR,JAC,@ DAL,13,21.25,5700,3.1,20.4,6.4,9.2,10.03,10.03,100,,1,1.8,4.10,0.7
Dede Westbrook,WR,JAC,@ DAL,13,21.25,5700,6.5,19,6.5,10.3,11.47,11.47,100,,36,2,11.30,2
Geronimo Allison,WR,GB,vs SF,3,27.50,5700,0,8.3,2.9,12.6,0.00,0.00,100,,0,0,,
Peyton Barber,RB,TB,@ ATL,18,27.00,5600,2.6,14.6,7.1,4.3,7.37,7.37,100,,11,1.3,18.60,3.3
Austin Hooper,TE,ATL,vs TB,15,30.00,5600,3.1,15.1,5.5,7.7,7.91,7.91,100,,13,1.4,17.60,3.1
Ronald Jones,RB,TB,@ ATL,18,27.00,5600,7,7,,3.3,7.04,7.04,100,,0,1.3,3.40,0.6
Alfred Blue,RB,HOU,vs BUF,19,25.00,5600,2.5,15.5,5.1,6.9,7.69,7.69,100,,7,1.4,5.30,0.9
Taylor Gabriel,WR,CHI,@ MIA,5,23.75,5600,3.5,18,3.9,11.3,9.28,9.28,100,,2,1.7,14.40,2.6
Latavius Murray,RB,MIN,vs ARI,4,26.50,5600,5.1,22.9,9.3,4.6,12.23,12.23,100,,28,2.2,22.30,4
Jordy Nelson,WR,OAK,vs SEA,1,22.50,5600,1.2,22.7,7.9,12.3,9.83,9.83,100,,36,1.8,1.60,0.3
Martavis Bryant,WR,OAK,vs SEA,1,22.50,5600,0,17.5,7.6,6.2,6.72,6.72,100,,31,1.2,2.80,0.5
Wendell Smallwood,RB,PHI,@ NYG,26,23.25,5500,8.3,22,5.0,10.4,13.78,13.78,100,,0,2.5,5.60,1
Evan Engram,TE,NYG,vs PHI,7,22.25,5500,0,9.2,9.4,7.1,0.00,0.00,100,,33,0,,
O.J. Howard,TE,TB,@ ATL,17,27.00,5500,0,16.3,6.8,8.4,5.95,5.95,100,,4,1.1,14.20,2.6
David Njoku,TE,CLE,vs LAC,4,24.00,5500,3.5,13.8,4.9,5.8,7.63,7.63,100,,20,1.4,15.00,2.7
Ryan Grant,WR,IND,@ NYJ,22,22.75,5500,4.3,14.5,6.5,8.5,8.39,8.39,100,,7,1.5,3.40,0.6
Robby Anderson,WR,NYJ,vs IND,9,24.75,5500,3.9,21.4,10.5,8.3,10.89,10.89,100,,20,2,5.40,1
Marlon Mack,RB,IND,@ NYJ,9,22.75,5500,2.3,13.3,6.6,4.1,6.72,6.72,100,,32,1.2,9.80,1.8
Dion Lewis,RB,TEN,vs BAL,8,20.75,5500,3.3,21.1,11.5,9.0,10.41,10.41,100,,35,1.9,2.40,0.4
Javorius Allen,RB,BAL,@ TEN,28,22.75,5500,4.9,21.1,8.9,11.0,11.38,11.38,100,,21,2.1,3.40,0.6
Derrick Henry,RB,TEN,vs BAL,8,20.75,5500,2.2,18,9.0,5.0,8.50,8.50,100,,18,1.5,3.10,0.6
Marquise Goodwin,WR,SF,@ GB,30,18.50,5500,2.4,16.2,8.8,4.7,7.90,7.90,100,,2,1.4,27.10,4.9
