Player,Pos,Team,Opp,Def v Pos,VegasPts,Salary,Floor,Ceiling,2017 Avg,2018 Avg,FC Proj,My Proj,Exp.,Used,Con.,Value,Actual Score,Actual Val
Todd Gurley,RB,LAR,@ SF,9,29.75,10200,14.6,39.6,22.8,27.6,24.56,24.56,100,,44,2.4,28.60,2.8
Melvin Gordon,RB,LAC,vs TEN,28,0.00,9000,0,13.5,16.2,24.6,0.00,0.00,100,,40,0,,
Patrick Mahomes II,QB,KC,vs CIN,3,31.25,9000,15.8,36,11.4,27.0,23.86,23.86,100,,67,2.7,33.82,3.8
A.J. Green,WR,CIN,@ KC,23,25.25,8800,7.6,28.6,11.8,15.7,15.97,15.97,100,,40,1.8,15.20,1.7
Tom Brady,QB,NE,@ CHI,30,25.75,8700,14,32.5,20.0,19.9,21.35,21.35,100,,64,2.5,22.68,2.6
Adam Thielen,WR,MIN,@ NYJ,18,24.00,8700,9.5,30.8,11.6,20.7,18.01,18.01,100,,11,2.1,21.50,2.5
Julio Jones,WR,ATL,vs NYG,15,28.00,8700,10,33,13.5,15.7,19.21,19.21,100,,43,2.2,12.90,1.5
Drew Brees,QB,NO,@ BAL,23,23.25,8600,12.1,30.6,17.5,25.1,19.54,19.54,100,,64,2.3,16.78,2
Michael Thomas,WR,NO,@ BAL,25,23.25,8600,6.5,23.5,13.8,17.8,13.33,13.33,100,,53,1.6,16.40,1.9
Matt Ryan,QB,ATL,vs NYG,16,28.00,8600,15.9,33.9,14.8,25.5,23.12,23.12,100,,61,2.7,19.26,2.2
DeAndre Hopkins,WR,HOU,@ JAC,10,19.25,8500,7.5,26.5,17.5,17.2,15.05,15.05,100,,47,1.8,12.50,1.5
Odell Beckham Jr.,WR,NYG,@ ATL,27,24.00,8500,8.3,30.3,15.4,14.0,17.10,17.10,100,,48,2,24.20,2.8
Ezekiel Elliott,RB,DAL,@ WAS,15,20.75,8400,10.7,30.7,19.0,18.1,18.74,18.74,100,,59,2.2,5.20,0.6
Philip Rivers,QB,LAC,vs TEN,22,0.00,8300,12.9,28.9,17.5,21.5,19.34,19.34,100,,65,2.3,20.14,2.4
Jared Goff,QB,LAR,@ SF,11,29.75,8300,13.3,33.3,17.3,21.2,21.31,21.31,100,,50,2.6,16.48,2
Andrew Luck,QB,IND,vs BUF,1,25.25,8200,13.8,31.8,,22.3,20.99,20.99,100,,67,2.6,22.74,2.8
Cam Newton,QB,CAR,@ PHI,28,20.00,8200,13.4,33.9,20.1,23.8,21.55,21.55,100,,60,2.6,25.66,3.1
Alvin Kamara,RB,NO,@ BAL,6,23.25,8200,5,30.3,17.2,24.8,15.10,15.10,100,,46,1.8,14.50,1.8
Saquon Barkley,RB,NYG,@ ATL,16,24.00,8200,16.6,30.3,,22.9,22.05,22.05,100,,76,2.7,21.90,2.7
Kirk Cousins,QB,MIN,@ NYJ,21,24.00,8000,14.2,33.2,18.2,21.6,21.84,21.84,100,,60,2.7,17.54,2.2
Christian McCaffrey,RB,CAR,@ PHI,18,20.00,8000,10.6,24.1,12.3,15.9,16.00,16.00,100,,59,2,11.00,1.4
Keenan Allen,WR,LAC,vs TEN,19,0.00,7900,6.3,26.8,14.2,11.7,14.51,14.51,100,,35,1.8,9.70,1.2
Mike Evans,WR,TB,vs CLE,9,27.75,7800,7.7,26.2,11.2,16.2,15.09,15.09,100,,45,1.9,14.20,1.8
Jameis Winston,QB,TB,vs CLE,7,27.75,7800,16.1,31.8,16.4,20.6,22.35,22.35,100,,64,2.9,22.10,2.8
Andy Dalton,QB,CIN,@ KC,12,25.25,7800,14.2,30.7,13.9,19.8,20.79,20.79,100,,60,2.7,8.92,1.1
Tyreek Hill,WR,KC,vs CIN,2,31.25,7800,9.1,30.9,13.9,19.9,17.80,17.80,100,,36,2.3,17.10,2.2
Kareem Hunt,RB,KC,vs CIN,29,31.25,7800,7.5,31.5,16.5,17.3,17.08,17.08,100,,43,2.2,34.60,4.4
Robert Woods,WR,LAR,@ SF,4,29.75,7700,8,25.8,11.8,16.1,15.14,15.14,100,,23,2,10.90,1.4
Joe Mixon,RB,CIN,@ KC,25,25.25,7700,10.7,25.7,9.0,17.0,16.73,16.73,100,,44,2.2,6.60,0.9
Rob Gronkowski,TE,NE,@ CHI,31,25.75,7600,0,11.6,15.0,9.6,0.00,0.00,100,,46,0,,
Stefon Diggs,WR,MIN,@ NYJ,18,24.00,7600,6.4,26.1,12.5,14.6,14.25,14.25,100,,32,1.9,6.60,0.9
Alshon Jeffery,WR,PHI,vs CAR,7,25.00,7600,8,24.2,11.2,16.3,14.47,14.47,100,,48,1.9,18.30,2.4
Carson Wentz,QB,PHI,vs CAR,6,25.00,7600,14,29.3,22.4,19.6,20.11,20.11,100,,66,2.6,18.70,2.5
Travis Kelce,TE,KC,vs CIN,3,31.25,7600,7,22.7,13.0,13.6,13.29,13.29,100,,42,1.7,12.00,1.6
David Johnson,RB,ARI,vs DEN,2,20.50,7500,6.4,30.4,10.1,13.9,16.01,16.01,100,,43,2.1,8.50,1.1
Mitchell Trubisky,QB,CHI,vs NE,15,23.75,7500,11.1,34.3,11.8,21.8,20.35,20.35,100,,37,2.7,33.42,4.5
Deshaun Watson,QB,HOU,@ JAC,5,19.25,7500,9.1,33.4,25.3,20.5,18.80,18.80,100,,58,2.5,10.86,1.4
Leonard Fournette,RB,JAC,vs HOU,4,22.25,7500,0,11.4,16.8,5.5,0.00,0.00,100,,51,0,,
Matthew Stafford,QB,DET,@ MIA,4,25.00,7500,13.2,28.9,17.7,18.2,19.45,19.45,100,,64,2.6,17.58,2.3
Zach Ertz,TE,PHI,vs CAR,10,25.00,7500,7.2,22.7,11.7,14.0,13.35,13.35,100,,37,1.8,18.30,2.4
Joe Flacco,QB,BAL,vs NO,24,26.25,7500,12.8,28.6,12.4,17.4,19.10,19.10,100,,60,2.5,19.56,2.6
Brandin Cooks,WR,LAR,@ SF,4,29.75,7500,6.6,26.1,11.0,14.4,14.38,14.38,100,,38,1.9,15.10,2
Golden Tate,WR,DET,@ MIA,8,25.00,7400,4,20.8,11.2,15.7,10.74,10.74,100,,43,1.5,8.60,1.2
Mark Ingram,RB,NO,@ BAL,6,23.25,7400,2.8,21.8,14.2,20.3,10.40,10.40,100,,46,1.4,5.20,0.7
Alex Smith,QB,WAS,vs DAL,19,19.75,7400,11.6,26.9,20.0,16.2,17.72,17.72,100,,64,2.4,12.72,1.7
James White,RB,NE,@ CHI,22,25.75,7300,7.9,22.9,8.7,16.0,13.85,13.85,100,,32,1.9,25.70,3.5
Sony Michel,RB,NE,@ CHI,22,25.75,7300,7.8,25.8,,13.5,14.98,14.98,100,,47,2.1,2.00,0.3
T.Y. Hilton,WR,IND,vs BUF,3,25.25,7300,0,19.7,9.2,13.0,7.44,7.44,100,,32,1,16.50,2.3
Julian Edelman,WR,NE,@ CHI,21,25.75,7100,5.5,21.2,,11.7,11.79,11.79,100,,53,1.7,12.10,1.7
Baker Mayfield,QB,CLE,@ TB,17,24.75,7100,15.6,23.6,,14.5,18.84,18.84,100,,78,2.7,20.90,2.9
Kenny Golladay,WR,DET,@ MIA,8,25.00,7000,4.7,19.5,7.3,14.9,10.64,10.64,100,,39,1.5,4.70,0.7
Adrian Peterson,RB,WAS,vs DAL,32,19.75,6900,3.4,24.7,7.3,13.4,11.91,11.91,100,,25,1.7,11.20,1.6
