Player,Pos,Team,Opp,Def v Pos,VegasPts,Salary,Floor,Ceiling,2017 Avg,2018 Avg,FC Proj,My Proj,Exp.,Used,Con.,Value,Actual Score,Actual Val
Todd Gurley,RB,LAR,vs SEA,7,30.00,10800,14.7,39.7,22.8,26.8,24.69,24.69,100,,45,2.3,23.50,2.2
Patrick Mahomes II,QB,KC,vs ARI,19,32.75,9800,18.3,36.5,11.4,27.9,25.55,25.55,100,,72,2.6,20.06,2
Kareem Hunt,RB,KC,vs ARI,13,32.75,9000,11.9,37.1,16.5,20.9,21.99,21.99,100,,44,2.4,10.60,1.2
Melvin Gordon,RB,LAC,@ OAK,20,30.25,8900,12.5,35,16.2,23.8,21.47,21.47,100,,40,2.4,25.00,2.8
Alvin Kamara,RB,NO,@ CIN,14,29.75,8800,11.8,36.5,17.2,24.2,21.69,21.69,100,,49,2.5,24.20,2.8
Antonio Brown,WR,PIT,vs CAR,6,27.00,8700,11.2,33.5,19.2,17.4,20.10,20.10,100,,53,2.3,18.60,2.1
Cam Newton,QB,CAR,@ PIT,31,24.00,8700,15.7,35.9,20.1,24.2,23.76,23.76,100,,61,2.7,15.72,1.8
Julio Jones,WR,ATL,@ CLE,9,27.50,8700,10.4,33.1,13.5,16.1,19.46,19.46,100,,44,2.2,20.20,2.3
Michael Thomas,WR,NO,@ CIN,2,29.75,8600,12.7,30.7,13.8,18.6,19.90,19.90,100,,51,2.3,23.00,2.7
Aaron Rodgers,QB,GB,vs MIA,27,29.25,8600,16.3,35.1,19.4,21.1,23.82,23.82,100,,65,2.8,18.06,2.1
Davante Adams,WR,GB,vs MIA,27,29.25,8600,11.7,30.5,13.3,18.0,19.20,19.20,100,,32,2.2,19.70,2.3
Saquon Barkley,RB,NYG,@ SF,9,21.00,8600,16.5,30,,21.8,21.86,21.86,100,,75,2.5,12.00,1.4
Matt Ryan,QB,ATL,@ CLE,6,27.50,8500,15.7,33.7,14.8,25.1,22.88,22.88,100,,62,2.7,20.50,2.4
Drew Brees,QB,NO,@ CIN,4,29.75,8400,15.7,34.7,17.5,22.7,23.27,23.27,100,,63,2.8,28.90,3.4
Ezekiel Elliott,RB,DAL,@ PHI,19,19.25,8400,10.5,31,19.0,15.9,18.70,18.70,100,,56,2.2,33.70,4
Odell Beckham Jr.,WR,NYG,@ SF,8,21.00,8400,11.2,33,15.4,15.8,19.91,19.91,100,,49,2.4,21.30,2.5
Tom Brady,QB,NE,@ TEN,24,26.25,8300,17.2,35.7,20.0,19.1,24.55,24.55,100,,64,3,11.26,1.4
James Conner,RB,PIT,vs CAR,10,27.00,8200,8.8,40.3,1.2,23.7,21.43,21.43,100,,0,2.6,13.80,1.7
Philip Rivers,QB,LAC,@ OAK,32,30.25,8200,17.4,33.2,17.5,20.8,23.73,23.73,100,,65,2.9,16.02,2
Jared Goff,QB,LAR,vs SEA,1,30.00,8100,14.6,35.1,17.3,22.3,22.83,22.83,100,,51,2.8,21.02,2.6
Le'Veon Bell,RB,PIT,vs CAR,10,27.00,8000,0,14,20.7,,0.00,0.00,100,,55,0,,
Christian McCaffrey,RB,CAR,@ PIT,3,24.00,8000,10.9,26.4,12.3,17.6,17.11,17.11,100,,56,2.1,34.30,4.3
A.J. Green,WR,CIN,vs NO,24,23.75,8000,0,12.5,11.8,15.7,0.00,0.00,100,,41,0,,
Joe Mixon,RB,CIN,vs NO,32,23.75,8000,10.4,27.6,9.0,17.0,17.25,17.25,100,,39,2.2,9.50,1.2
Travis Kelce,TE,KC,vs ARI,29,32.75,8000,10.2,26.2,13.0,15.1,16.64,16.64,100,,43,2.1,7.60,1
Andy Dalton,QB,CIN,vs NO,28,23.75,7900,14.2,30.7,13.9,18.5,20.76,20.76,100,,60,2.6,8.92,1.1
Keenan Allen,WR,LAC,@ OAK,18,30.25,7900,9,29,14.2,12.2,17.02,17.02,100,,37,2.2,14.70,1.9
Ben Roethlisberger,QB,PIT,vs CAR,7,27.00,7800,14,35.2,19.5,22.3,22.46,22.46,100,,56,2.9,35.82,4.6
Tyler Boyd,WR,CIN,vs NO,24,23.75,7800,9.1,25.9,4.6,14.6,15.81,15.81,100,,12,2,8.00,1
Andrew Luck,QB,IND,vs JAC,3,25.50,7800,15,32.8,,22.5,22.10,22.10,100,,67,2.8,22.20,2.8
James White,RB,NE,@ TEN,29,26.25,7800,11.8,28.6,8.7,18.6,18.50,18.50,100,,29,2.4,5.10,0.7
Mitchell Trubisky,QB,CHI,vs DET,26,26.00,7700,9.5,33.8,11.8,21.6,19.24,19.24,100,,38,2.5,36.00,4.7
Brandin Cooks,WR,LAR,vs SEA,1,30.00,7700,8.5,27.8,11.0,14.7,16.23,16.23,100,,39,2.1,21.90,2.8
Russell Wilson,QB,SEA,@ LAR,10,21.00,7700,14.4,33.4,22.4,18.6,21.96,21.96,100,,63,2.9,26.24,3.4
Tyreek Hill,WR,KC,vs ARI,15,32.75,7600,8.8,30,13.9,17.3,17.25,17.25,100,,38,2.3,29.20,3.8
Alex Smith,QB,WAS,@ TB,16,24.00,7600,14.1,29.1,20.0,15.4,20.10,20.10,100,,64,2.6,12.72,1.7
Ryan Fitzpatrick,QB,TB,vs WAS,30,27.00,7600,15.5,37.8,12.8,25.2,24.41,24.41,100,,44,3.2,15.74,2.1
Mike Evans,WR,TB,vs WAS,32,27.00,7500,7.7,26.7,11.2,15.5,15.30,15.30,100,,44,2,6.60,0.9
Robert Woods,WR,LAR,vs SEA,1,30.00,7500,9.3,26.6,11.8,14.1,16.24,16.24,100,,26,2.2,12.60,1.7
Zach Ertz,TE,PHI,vs DAL,27,26.25,7500,7.8,23.3,11.7,14.1,14.00,14.00,100,,39,1.9,33.50,4.5
Baker Mayfield,QB,CLE,vs ATL,22,22.50,7400,16.3,25.1,,16.1,19.81,19.81,100,,78,2.7,22.64,3.1
Marlon Mack,RB,IND,vs JAC,31,25.50,7400,5.5,26.2,6.6,18.2,13.77,13.77,100,,10,1.9,6.80,0.9
Carson Wentz,QB,PHI,vs DAL,14,26.25,7400,16.7,31.7,22.4,20.2,22.68,22.68,100,,67,3.1,22.10,3
George Kittle,TE,SF,vs NYG,14,24.00,7400,6.3,21.3,5.7,12.2,12.31,12.31,100,,26,1.7,12.80,1.7
Tevin Coleman,RB,ATL,@ CLE,25,27.50,7300,8.3,25.5,10.1,13.3,15.17,15.17,100,,32,2.1,7.80,1.1
Julian Edelman,WR,NE,@ TEN,7,26.25,7300,7.1,22.3,,13.2,13.16,13.16,100,,54,1.8,15.14,2.1
Sony Michel,RB,NE,@ TEN,29,26.25,7300,2.8,22.3,,11.6,10.62,10.62,100,,33,1.5,3.10,0.4
Alshon Jeffery,WR,PHI,vs DAL,14,26.25,7300,5.6,21.9,11.2,14.5,12.14,12.14,100,,48,1.7,6.80,0.9
JuJu Smith-Schuster,WR,PIT,vs CAR,6,27.00,7200,7.3,26.6,11.8,13.5,15.02,15.02,100,,38,2.1,17.80,2.5
Jameis Winston,QB,TB,vs WAS,30,27.00,7100,0,9.5,16.4,19.0,0.00,0.00,100,,64,0,,
T.Y. Hilton,WR,IND,vs JAC,4,25.50,7000,4.4,24.7,9.2,12.1,12.53,12.53,100,,33,1.8,9.20,1.3
Leonard Fournette,RB,JAC,@ IND,30,22.50,7000,5.3,24.3,16.8,5.5,12.86,12.86,100,,51,1.8,25.40,3.6
Dak Prescott,QB,DAL,@ PHI,23,19.25,7000,12.7,31.5,17.1,16.5,20.20,20.20,100,,57,2.9,21.70,3.1
David Johnson,RB,ARI,@ KC,26,16.75,6900,7.2,30.9,10.1,13.0,16.66,16.66,100,,43,2.4,33.80,4.9
Rob Gronkowski,TE,NE,@ TEN,31,26.25,6900,0,11.7,15.0,9.0,0.00,0.00,100,,44,0,,
Golden Tate,WR,PHI,vs DAL,14,26.25,6900,6.6,23.3,11.2,13.7,13.25,13.25,100,,42,1.9,2.90,0.4
Mark Ingram,RB,NO,@ CIN,14,29.75,6800,6,25,14.2,9.6,13.57,13.57,100,,45,2,23.70,3.5
Blake Bortles,QB,JAC,@ IND,11,22.50,6800,11.1,28.9,16.3,17.4,18.24,18.24,100,,59,2.7,21.60,3.2
Matthew Stafford,QB,DET,@ CHI,25,19.00,6800,12.6,28.4,17.7,16.7,18.94,18.94,100,,64,2.8,17.86,2.6
Sam Darnold,QB,NYJ,vs BUF,2,22.50,6800,0,7.5,,13.1,0.00,0.00,100,,62,0,,
Adrian Peterson,RB,WAS,@ TB,28,24.00,6800,5.1,26.3,7.3,13.6,13.57,13.57,100,,27,2,7.90,1.2
Nick Chubb,RB,CLE,vs ATL,17,22.50,6700,7.2,26.2,,7.5,14.75,14.75,100,,0,2.2,34.40,5.1
Josh Gordon,WR,NE,@ TEN,7,26.25,6700,7.7,20,9.7,10.1,12.61,12.61,100,,48,1.9,10.10,1.5
Marcus Mariota,QB,TEN,vs NE,9,20.25,6700,8.4,29.4,16.1,13.6,16.76,16.76,100,,50,2.5,21.82,3.3
Calvin Ridley,WR,ATL,@ CLE,9,27.50,6600,4.9,31.9,,13.3,15.69,15.69,100,,19,2.4,5.50,0.8
Sammy Watkins,WR,KC,vs ARI,15,32.75,6600,0,12.2,8.1,10.5,0.00,0.00,100,,22,0,,
Derek Carr,QB,OAK,vs LAC,5,20.25,6600,10.2,28.7,14.6,16.0,17.61,17.61,100,,53,2.7,7.92,1.2
Brock Osweiler,QB,MIA,@ GB,18,19.25,6600,9.8,28.1,12.2,13.3,17.14,17.14,100,,39,2.6,5.52,0.8
Ryan Tannehill,QB,MIA,@ GB,18,19.25,6600,0,9.6,,13.8,0.00,0.00,100,,61,0,,
Greg Olsen,TE,CAR,@ PIT,21,24.00,6500,3.9,20.6,6.8,9.8,10.58,10.58,100,,36,1.6,6.00,0.9
Jordan Howard,RB,CHI,vs DET,5,26.00,6500,5.6,24.6,11.8,10.8,13.15,13.15,100,,40,2,3.70,0.6
Josh Rosen,QB,ARI,@ KC,12,16.75,6500,10.9,25.4,,9.9,16.65,16.65,100,,41,2.6,10.22,1.6
O.J. Howard,TE,TB,vs WAS,24,27.00,6500,5.8,23.3,6.8,11.4,12.84,12.84,100,,18,2,2.00,0.3
Tyrell Williams,WR,LAC,@ OAK,18,30.25,6500,4.8,21.3,7.3,11.0,11.38,11.38,100,,31,1.8,6.60,1
Aaron Jones,RB,GB,vs MIA,27,29.25,6500,7.3,23.3,7.6,9.0,13.66,13.66,100,,21,2.1,30.70,4.7
Cooper Kupp,WR,LAR,vs SEA,1,30.00,6500,8.4,26.2,10.2,15.5,15.54,15.54,100,,40,2.4,6.40,1
Amari Cooper,WR,DAL,@ PHI,29,19.25,6500,1.9,22.6,9.6,8.6,10.15,10.15,100,,20,1.6,10.50,1.6
Eli Manning,QB,NYG,@ SF,20,21.00,6500,11.5,29.5,13.4,15.4,18.72,18.72,100,,55,2.9,19.52,3
