Player,Pos,Team,Opp,Def v Pos,VegasPts,Salary,Floor,Ceiling,2017 Avg,2018 Avg,FC Proj,My Proj,Exp.,Used,Con.,Value,Actual Score,Actual Val
C.J. Beathard,QB,SF,vs NYG,21,24.00,6500,0,8,15.8,16.4,0.00,0.00,100,,67,0,,
Jarvis Landry,WR,CLE,vs ATL,22,22.50,6400,8.2,22.2,12.8,11.0,13.79,13.79,100,,52,2.2,3.20,0.5
Tarik Cohen,RB,CHI,vs DET,5,26.00,6400,7.3,24.6,7.7,12.6,14.23,14.23,100,,27,2.2,13.40,2.1
Kenyan Drake,RB,MIA,@ GB,11,19.25,6400,4.1,22.3,7.9,11.2,11.35,11.35,100,,0,1.8,4.80,0.8
Chris Carson,RB,SEA,@ LAR,8,21.00,6400,0,8.3,9.1,10.2,0.00,0.00,100,,44,0,,
Sterling Shepard,WR,NYG,@ SF,8,21.00,6400,5.4,21.2,10.5,11.0,11.74,11.74,100,,38,1.8,10.60,1.7
Allen Robinson,WR,CHI,vs DET,26,26.00,6300,0,18.9,2.2,8.8,7.47,7.47,100,,35,1.2,28.30,4.5
Josh Allen,QB,BUF,@ NYJ,15,15.50,6300,0,12.3,,11.3,0.00,0.00,100,,27,0,,
DeSean Jackson,WR,TB,vs WAS,32,27.00,6300,5.2,22,8.1,13.6,11.90,11.90,100,,36,1.9,9.20,1.5
Jimmy Graham,TE,GB,vs MIA,20,29.25,6300,3.5,19.3,8.9,8.8,9.81,9.81,100,,36,1.6,1.90,0.3
Doug Baldwin,WR,SEA,@ LAR,21,21.00,6300,4.4,23.7,11.7,5.4,12.10,12.10,100,,34,1.9,6.40,1
Marvin Jones,WR,DET,@ CHI,25,19.00,6200,7.2,24.2,12.2,11.4,14.02,14.02,100,,34,2.3,7.00,1.1
Derek Anderson,QB,BUF,@ NYJ,15,15.50,6200,0,9,0.1,5.3,0.00,0.00,100,,0,0,,
Tyler Lockett,WR,SEA,@ LAR,21,21.00,6200,5.4,21.2,6.4,11.8,11.71,11.71,100,,22,1.9,17.00,2.7
Devin Funchess,WR,CAR,@ PIT,31,24.00,6100,5.7,20.2,10.2,10.1,11.48,11.48,100,,23,1.9,4.70,0.8
Giovani Bernard,RB,CIN,vs NO,32,23.75,6100,0.5,16.2,8.1,12.1,6.75,6.75,100,,38,1.1,4.60,0.8
Taysom Hill,QB,NO,@ CIN,4,29.75,6100,0,3.8,,2.9,0.00,0.00,100,,14,0,2.40,0.4
Trey Burton,TE,CHI,vs DET,15,26.00,6100,4.7,18.7,4.6,10.2,10.28,10.28,100,,0,1.7,8.00,1.3
Randall Cobb,WR,GB,vs MIA,27,29.25,6100,0,10.5,9.0,8.6,0.00,0.00,100,,38,0,,
Taylor Heinicke,QB,CAR,@ PIT,31,24.00,6000,0,0.2,0.6,0.3,0.00,0.00,100,,0,0,,
Joshua Dobbs,QB,PIT,vs CAR,7,27.00,6000,0,0.8,,0.2,0.00,0.00,100,,0,0,-0.12,
Mason Rudolph,QB,PIT,vs CAR,7,27.00,6000,0,0,,,0.00,0.00,100,,0,0,,
Teddy Bridgewater,QB,NO,@ CIN,4,29.75,6000,0,10.8,-1.3,-0.3,0.00,0.00,100,,43,0,-0.30,
Connor Cook,QB,CIN,vs NO,28,23.75,6000,0,0.3,,,0.00,0.00,100,,0,0,,
Christian Hackenberg,QB,CIN,vs NO,28,23.75,6000,0,0,,,0.00,0.00,100,,0,0,,
Jeff Driskel,QB,CIN,vs NO,28,23.75,6000,0,0,,2.1,0.00,0.00,100,,0,0,11.30,1.9
Devonta Freeman,RB,ATL,@ CLE,25,27.50,6000,0,14,13.0,5.8,0.00,0.00,100,,28,0,,
Drew Stanton,QB,CLE,vs ATL,22,22.50,6000,0,10.4,11.1,,0.00,0.00,100,,0,0,,
Matt Schaub,QB,ATL,@ CLE,6,27.50,6000,0,9.6,,0.3,0.00,0.00,100,,0,0,,
Tyrod Taylor,QB,CLE,vs ATL,22,22.50,6000,0,11.4,14.6,10.9,0.00,0.00,100,,54,0,,
Kurt Benkert,QB,ATL,@ CLE,6,27.50,6000,0,0,,,0.00,0.00,100,,0,0,,
Cody Kessler,QB,JAC,@ IND,11,22.50,6000,0,9,1.3,10.0,0.00,0.00,100,,17,0,,
Jacoby Brissett,QB,IND,vs JAC,3,25.50,6000,0,9.9,13.3,-0.2,0.00,0.00,100,,43,0,,
Phillip Walker,QB,IND,vs JAC,3,25.50,6000,0,0,,,0.00,0.00,100,,0,0,,
Tanner Lee,QB,JAC,@ IND,11,22.50,6000,0,0,,,0.00,0.00,100,,0,0,,
Chase Daniel,QB,CHI,vs DET,26,26.00,6000,0,3.8,-0.2,-0.3,0.00,0.00,100,,0,0,,
Matt Cassel,QB,DET,@ CHI,25,19.00,6000,0,9.6,2.2,-0.5,0.00,0.00,100,,6,0,,
Tyler Bray,QB,CHI,vs DET,26,26.00,6000,0,0,-2.0,,0.00,0.00,100,,0,0,,
Jake Rudock,QB,DET,@ CHI,25,19.00,6000,0,0,0.0,,0.00,0.00,100,,0,0,,
Chad Henne,QB,KC,vs ARI,19,32.75,6000,0,10.7,-0.3,,0.00,0.00,100,,0,0,,
Mike Glennon,QB,ARI,@ KC,12,16.75,6000,0,6.6,9.7,,0.00,0.00,100,,66,0,,
Chad Kanoff,QB,ARI,@ KC,12,16.75,6000,0,0,,,0.00,0.00,100,,0,0,,
Chase Litton,QB,KC,vs ARI,19,32.75,6000,0,0,,,0.00,0.00,100,,0,0,,
Josh McCown,QB,NYJ,vs BUF,2,22.50,6000,6,26.5,16.5,,14.19,14.19,100,,45,2.4,3.80,0.6
Davis Webb,QB,NYJ,vs BUF,2,22.50,6000,0,0,,,0.00,0.00,100,,0,0,,
Colt McCoy,QB,WAS,@ TB,16,24.00,6000,0,11.7,,,0.00,0.00,100,,38,0,,
Ryan Griffin,QB,TB,vs WAS,30,27.00,6000,0,0,,,0.00,0.00,100,,0,0,,
Austin Davis,QB,TEN,vs NE,9,20.25,6000,0,10.1,-0.1,,0.00,0.00,100,,37,0,,
Blaine Gabbert,QB,TEN,vs NE,9,20.25,6000,0,10.1,13.5,4.3,0.00,0.00,100,,49,0,,
Brian Hoyer,QB,NE,@ TEN,24,26.25,6000,0,12.5,6.2,-0.3,0.00,0.00,100,,24,0,0.48,0.1
Danny Etling,QB,NE,@ TEN,24,26.25,6000,0,0,,,0.00,0.00,100,,0,0,,
Geno Smith,QB,LAC,@ OAK,32,30.25,6000,0,12.2,4.8,0.0,0.00,0.00,100,,16,0,,
AJ McCarron,QB,OAK,vs LAC,5,20.25,6000,0,9.9,1.3,0.3,0.00,0.00,100,,0,0,,
Cardale Jones,QB,LAC,@ OAK,32,30.25,6000,0,0,,,0.00,0.00,100,,0,0,,
David Fales,QB,MIA,@ GB,18,19.25,6000,0,14.1,10.2,,0.00,0.00,100,,0,0,,
DeShone Kizer,QB,GB,vs MIA,27,29.25,6000,0,13.2,13.2,-0.8,0.00,0.00,100,,28,0,,
Tim Boyle,QB,GB,vs MIA,27,29.25,6000,0,0,,,0.00,0.00,100,,0,0,,
Luke Falk,QB,MIA,@ GB,18,19.25,6000,0,0,,,0.00,0.00,100,,0,0,,
Sean Mannion,QB,LAR,vs SEA,1,30.00,6000,0,2.6,1.0,0.1,0.00,0.00,100,,0,0,,
Brett Hundley,QB,SEA,@ LAR,10,21.00,6000,0,12.3,12.4,,0.00,0.00,100,,5,0,,
Brandon Allen,QB,LAR,vs SEA,1,30.00,6000,0,0,,,0.00,0.00,100,,0,0,,
Alex McGough,QB,SEA,@ LAR,10,21.00,6000,0,0,,,0.00,0.00,100,,0,0,,
Nick Foles,QB,PHI,vs DAL,14,26.25,6000,0,12.8,10.4,10.9,0.00,0.00,100,,28,0,,
Joe Callahan,QB,PHI,vs DAL,14,26.25,6000,6,6,0.4,,6.00,6.00,100,,0,1,,
Nate Sudfeld,QB,PHI,vs DAL,14,26.25,6000,0,6,3.6,,0.00,0.00,100,,0,0,,
Cooper Rush,QB,DAL,@ PHI,23,19.25,6000,0,1.1,0.7,,0.00,0.00,100,,0,0,,
Dalton Sturm,QB,DAL,@ PHI,23,19.25,6000,6,6,,,6.00,6.00,100,,0,1,,
Mike White,QB,DAL,@ PHI,23,19.25,6000,0,0,,,0.00,0.00,100,,0,0,,
Tom Savage,QB,SF,vs NYG,21,24.00,6000,0,9,7.1,,0.00,0.00,100,,0,0,,
Alex Tanney,QB,NYG,@ SF,20,21.00,6000,0,0,,,0.00,0.00,100,,0,0,,
Nick Mullens,QB,SF,vs NYG,21,24.00,6000,17,17,,22.2,16.96,16.96,100,,0,2.8,12.10,2
Kyle Lauletta,QB,NYG,@ SF,20,21.00,6000,0,0,,,0.00,0.00,100,,0,0,,
Jack Heneghan,QB,SF,vs NYG,21,24.00,6000,6,6,,,6.00,6.00,100,,0,1,,
Benjamin Watson,TE,NO,@ CIN,2,29.75,5900,3.1,17.1,6.7,7.7,8.67,8.67,100,,15,1.5,0.60,0.1
Ito Smith,RB,ATL,@ CLE,25,27.50,5900,7.5,15,,8.3,10.52,10.52,100,,64,1.8,4.60,0.8
Kerryon Johnson,RB,DET,@ CHI,24,19.00,5900,7.9,17.9,,10.6,11.89,11.89,100,,62,2,21.90,3.7
Maurice Harris,WR,WAS,@ TB,17,24.00,5900,4.6,16.1,3.6,6.7,9.15,9.15,100,,0,1.6,8.10,1.4
Jamaal Williams,RB,GB,vs MIA,27,29.25,5900,1.1,20.1,9.3,5.9,8.71,8.71,100,,6,1.5,0.30,0.1
Matt Breida,RB,SF,vs NYG,15,24.00,5900,6.6,20.6,5.8,9.4,12.15,12.15,100,,21,2.1,26.70,4.5
Austin Hooper,TE,ATL,@ CLE,6,27.50,5800,4.2,16.7,5.5,8.5,9.20,9.20,100,,14,1.6,16.60,2.9
Carlos Hyde,RB,JAC,@ IND,30,22.50,5800,0,17,12.8,10.7,6.06,6.06,100,,31,1,0.50,0.1
T.J. Yeldon,RB,JAC,@ IND,30,22.50,5800,1.8,16,7.7,14.3,7.48,7.48,100,,41,1.3,8.80,1.5
Kenny Golladay,WR,DET,@ CHI,25,19.00,5800,7.4,21.9,7.3,11.0,13.16,13.16,100,,35,2.3,16.80,2.9
Larry Fitzgerald,WR,ARI,@ KC,28,16.75,5800,4,22.2,12.9,8.3,11.29,11.29,100,,37,1.9,8.00,1.4
Chris Hogan,WR,NE,@ TEN,7,26.25,5800,1.5,18.5,10.4,6.3,8.31,8.31,100,,14,1.4,0.00,
Dion Lewis,RB,TEN,vs NE,2,20.25,5800,7,25,11.5,10.8,14.17,14.17,100,,35,2.4,7.80,1.3
Corey Davis,WR,TEN,vs NE,12,20.25,5800,4,19.5,6.1,8.7,10.23,10.23,100,,13,1.8,22.00,3.8
Doug Martin,RB,OAK,vs LAC,16,20.25,5800,3,19.8,6.5,3.5,9.71,9.71,100,,23,1.7,10.70,1.8
Austin Ekeler,RB,LAC,@ OAK,20,30.25,5800,5.5,21.3,6.7,10.4,11.84,11.84,100,,21,2,1.90,0.3
Mike Davis,RB,SEA,@ LAR,8,21.00,5800,5.3,20.3,7.4,9.2,11.31,11.31,100,,0,2,16.00,2.8
David Moore,WR,SEA,@ LAR,21,21.00,5800,3.2,20.7,,9.1,10.22,10.22,100,,23,1.8,2.10,0.4
Evan Engram,TE,NYG,@ SF,30,21.00,5800,3.5,18.2,9.4,7.2,9.38,9.38,100,,34,1.6,6.60,1.1
Adam Humphries,WR,TB,vs WAS,32,27.00,5700,3.9,15.7,6.1,8.6,8.62,8.62,100,,27,1.5,6.30,1.1
Jamison Crowder,WR,WAS,@ TB,17,24.00,5700,0,8.7,8.5,7.4,0.00,0.00,100,,29,0,,
Geronimo Allison,WR,GB,vs MIA,27,29.25,5700,0,8.1,2.9,10.5,0.00,0.00,100,,0,0,,
Cole Beasley,WR,DAL,@ PHI,29,19.25,5700,3,18,4.9,8.3,8.96,8.96,100,,12,1.6,5.70,1
Raheem Mostert,RB,SF,vs NYG,15,24.00,5700,0,6.3,0.3,5.9,0.00,0.00,100,,0,0,,
John Ross,WR,CIN,vs NO,24,23.75,5600,3.6,14.1,-0.3,4.6,7.84,7.84,100,,0,1.4,10.90,1.9
Tre'Quan Smith,WR,NO,@ CIN,2,29.75,5600,2.8,22.8,,6.5,10.76,10.76,100,,0,1.9,,
Mohamed Sanu,WR,ATL,@ CLE,9,27.50,5600,4,18,9.2,8.8,9.62,9.62,100,,30,1.7,5.70,1
Duke Johnson,RB,CLE,vs ATL,17,22.50,5600,6.8,19.8,11.2,7.8,11.99,11.99,100,,41,2.1,12.60,2.3
Jack Doyle,TE,IND,vs JAC,10,25.50,5600,4.9,17.9,8.6,8.8,10.05,10.05,100,,13,1.8,5.10,0.9
Chester Rogers,WR,IND,vs JAC,4,25.50,5600,1,12.5,4.7,6.9,5.60,5.60,100,,0,1,-0.40,
LeSean McCoy,RB,BUF,@ NYJ,22,15.50,5600,3.1,22.1,14.6,7.1,10.69,10.69,100,,44,1.9,24.30,4.3
Chris Thompson,RB,WAS,@ TB,28,24.00,5600,0,9.3,13.2,10.4,0.00,0.00,100,,29,0,,
Josh Reynolds,WR,LAR,vs SEA,1,30.00,5600,0,12.1,2.7,5.2,4.43,4.43,100,,0,0.8,,
DJ Moore,WR,CAR,@ PIT,31,24.00,5500,3.9,16.1,,6.6,8.79,8.79,100,,26,1.6,4.50,0.8
Donte Moncrief,WR,JAC,@ IND,3,22.50,5500,3.9,19.7,5.3,7.8,10.23,10.23,100,,14,1.9,17.30,3.1
Nathan Peterman,QB,BUF,@ NYJ,15,15.50,5500,0,7.7,3.1,5.0,0.00,0.00,100,,0,0,,
Chris Herndon,TE,NYJ,vs BUF,1,22.50,5500,1.4,12.1,,6.9,5.67,5.67,100,,38,1,4.90,0.9
Chris Godwin,WR,TB,vs WAS,32,27.00,5500,4.3,18.1,5.0,9.6,9.80,9.80,100,,17,1.8,13.80,2.5
Derrick Henry,RB,TEN,vs NE,2,20.25,5500,2.5,18,9.0,6.5,8.72,8.72,100,,21,1.6,17.80,3.2
Jared Cook,TE,OAK,vs LAC,9,20.25,5500,3.9,18.7,6.6,10.8,9.84,9.84,100,,13,1.8,7.20,1.3
Wendell Smallwood,RB,PHI,vs DAL,23,26.25,5500,2.4,15.9,5.0,9.4,7.79,7.79,100,,7,1.4,4.90,0.9
C.J. Uzomah,TE,CIN,vs NO,23,23.75,5400,4.7,12.2,2.2,4.9,7.74,7.74,100,,23,1.4,3.80,0.7
David Njoku,TE,CLE,vs ATL,12,22.50,5400,5.5,17,4.9,8.1,10.12,10.12,100,,23,1.9,2.30,0.4
Eric Ebron,TE,IND,vs JAC,10,25.50,5400,3.6,16.6,6.6,12.4,8.84,8.84,100,,29,1.6,26.60,4.9
Dede Westbrook,WR,JAC,@ IND,3,22.50,5400,5.3,17.3,6.5,9.7,10.05,10.05,100,,39,1.9,6.80,1.3
Taylor Gabriel,WR,CHI,vs DET,26,26.00,5400,4.6,18.8,3.9,9.6,10.25,10.25,100,,5,1.9,0.00,
Christian Kirk,WR,ARI,@ KC,28,16.75,5400,6.3,18,,8.7,10.95,10.95,100,,46,2,1.80,0.3
Isaiah Crowell,RB,NYJ,vs BUF,21,22.50,5400,4.9,21.4,8.1,10.9,11.46,11.46,100,,27,2.1,10.70,2
Peyton Barber,RB,TB,vs WAS,12,27.00,5400,4,17.5,7.1,7.3,9.40,9.40,100,,11,1.7,7.10,1.3
Mike Williams,WR,LAC,@ OAK,18,30.25,5400,4,18.3,1.7,9.3,9.70,9.70,100,,0,1.8,0.00,
Jalen Richard,RB,OAK,vs LAC,16,20.25,5400,5.8,17.5,4.5,7.7,10.45,10.45,100,,19,1.9,8.40,1.6
DeVante Parker,WR,MIA,@ GB,19,19.25,5400,3.1,16.8,7.8,5.7,8.58,8.58,100,,34,1.6,6.80,1.3
Marquez Valdes-Scantling,WR,GB,vs MIA,27,29.25,5400,3.5,18.7,,7.0,9.58,9.58,100,,13,1.8,7.40,1.4
Rashaad Penny,RB,SEA,@ LAR,8,21.00,5400,1.1,7.8,,3.8,3.79,3.79,100,,29,0.7,16.80,3.1
Torrey Smith,WR,CAR,@ PIT,31,24.00,5300,0,9.3,5.3,6.5,0.00,0.00,100,,11,0,,
Vance McDonald,TE,PIT,vs CAR,22,27.00,5300,3.4,16.9,4.4,7.4,8.77,8.77,100,,0,1.7,12.40,2.3
Nyheim Hines,RB,IND,vs JAC,31,25.50,5300,3.2,17.9,,9.7,9.06,9.06,100,,39,1.7,3.70,0.7
Anthony Miller,WR,CHI,vs DET,26,26.00,5300,6.2,13.7,,7.2,9.16,9.16,100,,58,1.7,20.70,3.9
Chris Ivory,RB,BUF,@ NYJ,22,15.50,5300,0,9.2,5.0,6.2,0.00,0.00,100,,27,0,,
Tajae Sharpe,WR,TEN,vs NE,12,20.25,5300,2.8,14.3,,4.8,7.42,7.42,100,,10,1.4,0.00,
